,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
0,Adrenal carcinoma,1,BV421:A,0,1,,,0.0,0
1,Adrenal carcinoma,1,CD10:A,1,0,106.92,106.92,106.92,0
2,Adrenal carcinoma,1,CD105:A,0,1,,,0.0,0
3,Adrenal carcinoma,1,CD117:A,1,0,88.53,88.53,88.53,0
4,Adrenal carcinoma,1,CD123:A,0,1,,,0.0,0
5,Adrenal carcinoma,1,CD14:A,0,1,,,0.0,0
6,Adrenal carcinoma,1,CD15:A,0,1,,,0.0,0
7,Adrenal carcinoma,1,CD16:A,0,1,,,0.0,0
8,Adrenal carcinoma,1,CD19:A,0,1,,,0.0,0
9,Adrenal carcinoma,1,CD19_CD4:A,1,0,165.26,165.26,165.26,0
10,Adrenal carcinoma,1,CD19+TCRGD:A,0,1,,,0.0,0
11,Adrenal carcinoma,1,CD1a:A,0,1,,,0.0,0
12,Adrenal carcinoma,1,CD2:A,0,1,,,0.0,0
13,Adrenal carcinoma,1,CD20:A,0,1,,,0.0,0
14,Adrenal carcinoma,1,CD20+CD4:A,0,1,,,0.0,0
15,Adrenal carcinoma,1,CD21:A,0,1,,,0.0,0
16,Adrenal carcinoma,1,CD22:A,0,1,,,0.0,0
17,Adrenal carcinoma,1,CD24:A,0,1,,,0.0,0
18,Adrenal carcinoma,1,CD271:A,1,0,267.81,267.81,267.81,0
19,Adrenal carcinoma,1,CD28:A,0,1,,,0.0,0
20,Adrenal carcinoma,1,CD3:A,1,0,189.61,189.61,189.61,0
21,Adrenal carcinoma,1,CD30:A,0,1,,,0.0,0
22,Adrenal carcinoma,1,CD309:A,0,1,,,0.0,0
23,Adrenal carcinoma,1,CD34:A,1,0,296.18,296.18,296.18,0
24,Adrenal carcinoma,1,CD38:A,1,0,-101.19,-101.19,-101.19,0
25,Adrenal carcinoma,1,CD4:A,0,1,,,0.0,0
26,Adrenal carcinoma,1,CD44:A,0,1,,,0.0,0
27,Adrenal carcinoma,1,CD45:A,1,0,73.43,73.43,73.43,0
28,Adrenal carcinoma,1,CD5:A,0,1,,,0.0,0
29,Adrenal carcinoma,1,CD56:A,1,0,3730.76,3730.76,3730.76,0
30,Adrenal carcinoma,1,CD56+IgK:A,1,0,113.77,113.77,113.77,0
31,Adrenal carcinoma,1,CD57:A,1,0,94.25,94.25,94.25,0
32,Adrenal carcinoma,1,CD58:A,1,0,935.39,935.39,935.39,0
33,Adrenal carcinoma,1,CD7:A,0,1,,,0.0,0
34,Adrenal carcinoma,1,CD71:A,0,1,,,0.0,0
35,Adrenal carcinoma,1,CD8:A,0,1,,,0.0,0
36,Adrenal carcinoma,1,CD8+IgL:A,1,0,286.55,286.55,286.55,0
37,Adrenal carcinoma,1,CD81:A,1,0,-98.66,-98.66,-98.66,0
38,Adrenal carcinoma,1,CD8-CD99:A,0,1,,,0.0,0
39,Adrenal carcinoma,1,CD9:A,1,0,496.26,496.26,496.26,0
40,Adrenal carcinoma,1,CD90:A,1,0,248.57,248.57,248.57,0
41,Adrenal carcinoma,1,CD99:A,1,0,308.32,308.32,308.32,0
42,Adrenal carcinoma,1,cyCD3:A,0,1,,,0.0,0
43,Adrenal carcinoma,1,cyCD3+CD19:A,0,1,,,0.0,0
44,Adrenal carcinoma,1,cyCD79a:A,0,1,,,0.0,0
45,Adrenal carcinoma,1,EPCAM:A,1,0,115.02,115.02,115.02,0
46,Adrenal carcinoma,1,Epcam+CD4:A,0,1,,,0.0,0
47,Adrenal carcinoma,1,FSC-A:A,1,0,69663.15,69663.15,69663.15,0
48,Adrenal carcinoma,1,FSC-H:A,0,1,,,0.0,0
49,Adrenal carcinoma,1,GD2:A,0,1,,,0.0,0
50,Adrenal carcinoma,1,HLADR:A,0,1,,,0.0,0
51,Adrenal carcinoma,1,MPO:A,0,1,,,0.0,0
52,Adrenal carcinoma,1,nuMIOGENIN:A,0,1,,,0.0,0
53,Adrenal carcinoma,1,nuMYOD:A,0,1,,,0.0,0
54,Adrenal carcinoma,1,OCT3/4:A,0,1,,,0.0,0
55,Adrenal carcinoma,1,SSC-A:A,1,0,7973.28,7973.28,7973.28,0
56,Adrenal carcinoma,1,SSC-H:A,0,1,,,0.0,0
57,Adrenal carcinoma,1,BV421:B,0,1,,,0.0,0
58,Adrenal carcinoma,1,CD10:B,0,1,,,0.0,0
59,Adrenal carcinoma,1,CD105:B,0,1,,,0.0,0
60,Adrenal carcinoma,1,CD117:B,0,1,,,0.0,0
61,Adrenal carcinoma,1,CD123:B,0,1,,,0.0,0
62,Adrenal carcinoma,1,CD14:B,0,1,,,0.0,0
63,Adrenal carcinoma,1,CD15:B,0,1,,,0.0,0
64,Adrenal carcinoma,1,CD16:B,0,1,,,0.0,0
65,Adrenal carcinoma,1,CD19:B,1,0,9689.86,9689.86,9689.86,0
66,Adrenal carcinoma,1,CD19_CD4:B,1,0,4700.01,4700.01,4700.01,0
67,Adrenal carcinoma,1,CD19+TCRGD:B,0,1,,,0.0,0
68,Adrenal carcinoma,1,CD1a:B,0,1,,,0.0,0
69,Adrenal carcinoma,1,CD2:B,0,1,,,0.0,0
70,Adrenal carcinoma,1,CD20:B,0,1,,,0.0,0
71,Adrenal carcinoma,1,CD20+CD4:B,0,1,,,0.0,0
72,Adrenal carcinoma,1,CD21:B,0,1,,,0.0,0
73,Adrenal carcinoma,1,CD22:B,0,1,,,0.0,0
74,Adrenal carcinoma,1,CD24:B,0,1,,,0.0,0
75,Adrenal carcinoma,1,CD271:B,0,1,,,0.0,0
76,Adrenal carcinoma,1,CD28:B,0,1,,,0.0,0
77,Adrenal carcinoma,1,CD3:B,1,0,1.77,1.77,1.77,0
78,Adrenal carcinoma,1,CD30:B,0,1,,,0.0,0
79,Adrenal carcinoma,1,CD309:B,0,1,,,0.0,0
80,Adrenal carcinoma,1,CD34:B,1,0,548.23,548.23,548.23,0
81,Adrenal carcinoma,1,CD38:B,0,1,,,0.0,0
82,Adrenal carcinoma,1,CD4:B,0,1,,,0.0,0
83,Adrenal carcinoma,1,CD44:B,0,1,,,0.0,0
84,Adrenal carcinoma,1,CD45:B,1,0,1091.39,1091.39,1091.39,0
85,Adrenal carcinoma,1,CD5:B,0,1,,,0.0,0
86,Adrenal carcinoma,1,CD56:B,1,0,401.46,401.46,401.46,0
87,Adrenal carcinoma,1,CD56+IgK:B,1,0,960.1,960.1,960.1,0
88,Adrenal carcinoma,1,CD57:B,0,1,,,0.0,0
89,Adrenal carcinoma,1,CD58:B,0,1,,,0.0,0
90,Adrenal carcinoma,1,CD7:B,1,0,-86.85,-86.85,-86.85,0
91,Adrenal carcinoma,1,CD71:B,0,1,,,0.0,0
92,Adrenal carcinoma,1,CD8:B,0,1,,,0.0,0
93,Adrenal carcinoma,1,CD8+IgL:B,1,0,718.4,718.4,718.4,0
94,Adrenal carcinoma,1,CD81:B,0,1,,,0.0,0
95,Adrenal carcinoma,1,CD8-CD99:B,0,1,,,0.0,0
96,Adrenal carcinoma,1,CD9:B,0,1,,,0.0,0
97,Adrenal carcinoma,1,CD90:B,0,1,,,0.0,0
98,Adrenal carcinoma,1,CD99:B,0,1,,,0.0,0
99,Adrenal carcinoma,1,cyCD3:B,1,0,453.49,453.49,453.49,0
100,Adrenal carcinoma,1,cyCD3+CD19:B,0,1,,,0.0,0
101,Adrenal carcinoma,1,cyCD79a:B,1,0,7982.64,7982.64,7982.64,0
102,Adrenal carcinoma,1,EPCAM:B,0,1,,,0.0,0
103,Adrenal carcinoma,1,Epcam+CD4:B,0,1,,,0.0,0
104,Adrenal carcinoma,1,FSC-A:B,1,0,65619.9,65619.9,65619.9,0
105,Adrenal carcinoma,1,FSC-H:B,0,1,,,0.0,0
106,Adrenal carcinoma,1,GD2:B,0,1,,,0.0,0
107,Adrenal carcinoma,1,HLADR:B,0,1,,,0.0,0
108,Adrenal carcinoma,1,MPO:B,1,0,124.61,124.61,124.61,0
109,Adrenal carcinoma,1,nuMIOGENIN:B,0,1,,,0.0,0
110,Adrenal carcinoma,1,nuMYOD:B,0,1,,,0.0,0
111,Adrenal carcinoma,1,OCT3/4:B,0,1,,,0.0,0
112,Adrenal carcinoma,1,SSC-A:B,1,0,7835.04,7835.04,7835.04,0
113,Adrenal carcinoma,1,SSC-H:B,0,1,,,0.0,0
114,Adrenal carcinoma,1,BV421:END,0,1,,,0.0,0
115,Adrenal carcinoma,1,CD10:END,0,1,,,0.0,0
116,Adrenal carcinoma,1,CD105:END,0,1,,,0.0,0
117,Adrenal carcinoma,1,CD117:END,0,1,,,0.0,0
118,Adrenal carcinoma,1,CD123:END,0,1,,,0.0,0
119,Adrenal carcinoma,1,CD14:END,0,1,,,0.0,0
120,Adrenal carcinoma,1,CD15:END,0,1,,,0.0,0
121,Adrenal carcinoma,1,CD16:END,0,1,,,0.0,0
122,Adrenal carcinoma,1,CD19:END,0,1,,,0.0,0
123,Adrenal carcinoma,1,CD19_CD4:END,0,1,,,0.0,0
124,Adrenal carcinoma,1,CD19+TCRGD:END,0,1,,,0.0,0
125,Adrenal carcinoma,1,CD1a:END,0,1,,,0.0,0
126,Adrenal carcinoma,1,CD2:END,0,1,,,0.0,0
127,Adrenal carcinoma,1,CD20:END,0,1,,,0.0,0
128,Adrenal carcinoma,1,CD20+CD4:END,0,1,,,0.0,0
129,Adrenal carcinoma,1,CD21:END,0,1,,,0.0,0
130,Adrenal carcinoma,1,CD22:END,0,1,,,0.0,0
131,Adrenal carcinoma,1,CD24:END,0,1,,,0.0,0
132,Adrenal carcinoma,1,CD271:END,0,1,,,0.0,0
133,Adrenal carcinoma,1,CD28:END,0,1,,,0.0,0
134,Adrenal carcinoma,1,CD3:END,0,1,,,0.0,0
135,Adrenal carcinoma,1,CD30:END,0,1,,,0.0,0
136,Adrenal carcinoma,1,CD309:END,0,1,,,0.0,0
137,Adrenal carcinoma,1,CD34:END,0,1,,,0.0,0
138,Adrenal carcinoma,1,CD38:END,0,1,,,0.0,0
139,Adrenal carcinoma,1,CD4:END,0,1,,,0.0,0
140,Adrenal carcinoma,1,CD44:END,0,1,,,0.0,0
141,Adrenal carcinoma,1,CD45:END,0,1,,,0.0,0
142,Adrenal carcinoma,1,CD5:END,0,1,,,0.0,0
143,Adrenal carcinoma,1,CD56:END,0,1,,,0.0,0
144,Adrenal carcinoma,1,CD56+IgK:END,0,1,,,0.0,0
145,Adrenal carcinoma,1,CD57:END,0,1,,,0.0,0
146,Adrenal carcinoma,1,CD58:END,0,1,,,0.0,0
147,Adrenal carcinoma,1,CD7:END,0,1,,,0.0,0
148,Adrenal carcinoma,1,CD71:END,0,1,,,0.0,0
149,Adrenal carcinoma,1,CD8:END,0,1,,,0.0,0
150,Adrenal carcinoma,1,CD8+IgL:END,0,1,,,0.0,0
151,Adrenal carcinoma,1,CD81:END,0,1,,,0.0,0
152,Adrenal carcinoma,1,CD8-CD99:END,0,1,,,0.0,0
153,Adrenal carcinoma,1,CD9:END,0,1,,,0.0,0
154,Adrenal carcinoma,1,CD90:END,0,1,,,0.0,0
155,Adrenal carcinoma,1,CD99:END,0,1,,,0.0,0
156,Adrenal carcinoma,1,cyCD3:END,0,1,,,0.0,0
157,Adrenal carcinoma,1,cyCD3+CD19:END,0,1,,,0.0,0
158,Adrenal carcinoma,1,cyCD79a:END,0,1,,,0.0,0
159,Adrenal carcinoma,1,EPCAM:END,0,1,,,0.0,0
160,Adrenal carcinoma,1,Epcam+CD4:END,0,1,,,0.0,0
161,Adrenal carcinoma,1,FSC-A:END,0,1,,,0.0,0
