,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
0,chondrosarcoma,1,BV421:A,0,1,,,0.0,0
1,chondrosarcoma,1,CD10:A,1,0,493.96,493.96,493.96,0
2,chondrosarcoma,1,CD105:A,0,1,,,0.0,0
3,chondrosarcoma,1,CD117:A,0,1,,,0.0,0
4,chondrosarcoma,1,CD123:A,0,1,,,0.0,0
5,chondrosarcoma,1,CD14:A,0,1,,,0.0,0
6,chondrosarcoma,1,CD15:A,0,1,,,0.0,0
7,chondrosarcoma,1,CD16:A,0,1,,,0.0,0
8,chondrosarcoma,1,CD19:A,0,1,,,0.0,0
9,chondrosarcoma,1,CD19_CD4:A,1,0,650.22,650.22,650.22,0
10,chondrosarcoma,1,CD19+TCRGD:A,0,1,,,0.0,0
11,chondrosarcoma,1,CD1a:A,0,1,,,0.0,0
12,chondrosarcoma,1,CD2:A,0,1,,,0.0,0
13,chondrosarcoma,1,CD20:A,0,1,,,0.0,0
14,chondrosarcoma,1,CD20+CD4:A,0,1,,,0.0,0
15,chondrosarcoma,1,CD21:A,0,1,,,0.0,0
16,chondrosarcoma,1,CD22:A,0,1,,,0.0,0
17,chondrosarcoma,1,CD24:A,0,1,,,0.0,0
18,chondrosarcoma,1,CD271:A,1,0,107.43,107.43,107.43,0
19,chondrosarcoma,1,CD28:A,0,1,,,0.0,0
20,chondrosarcoma,1,CD3:A,1,0,387.02,387.02,387.02,0
21,chondrosarcoma,1,CD30:A,0,1,,,0.0,0
22,chondrosarcoma,1,CD309:A,0,1,,,0.0,0
23,chondrosarcoma,1,CD34:A,0,1,,,0.0,0
24,chondrosarcoma,1,CD38:A,1,0,106.94,106.94,106.94,0
25,chondrosarcoma,1,CD4:A,0,1,,,0.0,0
26,chondrosarcoma,1,CD44:A,0,1,,,0.0,0
27,chondrosarcoma,1,CD45:A,1,0,986.11,986.11,986.11,0
28,chondrosarcoma,1,CD5:A,0,1,,,0.0,0
29,chondrosarcoma,1,CD56:A,1,0,639.08,639.08,639.08,0
30,chondrosarcoma,1,CD56+IgK:A,1,0,1052.68,1052.68,1052.68,0
31,chondrosarcoma,1,CD57:A,1,0,440.76,440.76,440.76,0
32,chondrosarcoma,1,CD58:A,0,1,,,0.0,0
33,chondrosarcoma,1,CD7:A,0,1,,,0.0,0
34,chondrosarcoma,1,CD71:A,0,1,,,0.0,0
35,chondrosarcoma,1,CD8:A,0,1,,,0.0,0
36,chondrosarcoma,1,CD8+IgL:A,1,0,521.15,521.15,521.15,0
37,chondrosarcoma,1,CD81:A,1,0,6188.15,6188.15,6188.15,0
38,chondrosarcoma,1,CD8-CD99:A,0,1,,,0.0,0
39,chondrosarcoma,1,CD9:A,1,0,27129.65,27129.65,27129.65,0
40,chondrosarcoma,1,CD90:A,1,0,7227.36,7227.36,7227.36,0
41,chondrosarcoma,1,CD99:A,1,0,369.04,369.04,369.04,0
42,chondrosarcoma,1,cyCD3:A,0,1,,,0.0,0
43,chondrosarcoma,1,cyCD3+CD19:A,0,1,,,0.0,0
44,chondrosarcoma,1,cyCD79a:A,0,1,,,0.0,0
45,chondrosarcoma,1,EPCAM:A,1,0,614.38,614.38,614.38,0
46,chondrosarcoma,1,Epcam+CD4:A,0,1,,,0.0,0
47,chondrosarcoma,1,FSC-A:A,1,0,192348.0,192348.0,192348.0,0
48,chondrosarcoma,1,FSC-H:A,1,0,119956.0,119956.0,119956.0,0
49,chondrosarcoma,1,GD2:A,1,0,2354.28,2354.28,2354.28,0
50,chondrosarcoma,1,HLADR:A,0,1,,,0.0,0
51,chondrosarcoma,1,MPO:A,0,1,,,0.0,0
52,chondrosarcoma,1,nuMIOGENIN:A,1,0,648.25,648.25,648.25,0
53,chondrosarcoma,1,nuMYOD:A,1,0,928.63,928.63,928.63,0
54,chondrosarcoma,1,OCT3/4:A,0,1,,,0.0,0
55,chondrosarcoma,1,SSC-A:A,1,0,90337.38,90337.38,90337.38,0
56,chondrosarcoma,1,SSC-H:A,0,1,,,0.0,0
57,chondrosarcoma,1,BV421:B,0,1,,,0.0,0
58,chondrosarcoma,1,CD10:B,0,1,,,0.0,0
59,chondrosarcoma,1,CD105:B,0,1,,,0.0,0
60,chondrosarcoma,1,CD117:B,0,1,,,0.0,0
61,chondrosarcoma,1,CD123:B,0,1,,,0.0,0
62,chondrosarcoma,1,CD14:B,0,1,,,0.0,0
63,chondrosarcoma,1,CD15:B,0,1,,,0.0,0
64,chondrosarcoma,1,CD16:B,0,1,,,0.0,0
65,chondrosarcoma,1,CD19:B,0,1,,,0.0,0
66,chondrosarcoma,1,CD19_CD4:B,1,0,2920.28,2920.28,2920.28,0
67,chondrosarcoma,1,CD19+TCRGD:B,0,1,,,0.0,0
68,chondrosarcoma,1,CD1a:B,0,1,,,0.0,0
69,chondrosarcoma,1,CD2:B,0,1,,,0.0,0
70,chondrosarcoma,1,CD20:B,0,1,,,0.0,0
71,chondrosarcoma,1,CD20+CD4:B,0,1,,,0.0,0
72,chondrosarcoma,1,CD21:B,0,1,,,0.0,0
73,chondrosarcoma,1,CD22:B,0,1,,,0.0,0
74,chondrosarcoma,1,CD24:B,0,1,,,0.0,0
75,chondrosarcoma,1,CD271:B,1,0,1157.56,1157.56,1157.56,0
76,chondrosarcoma,1,CD28:B,0,1,,,0.0,0
77,chondrosarcoma,1,CD3:B,1,0,114.36,114.36,114.36,0
78,chondrosarcoma,1,CD30:B,0,1,,,0.0,0
79,chondrosarcoma,1,CD309:B,0,1,,,0.0,0
80,chondrosarcoma,1,CD34:B,0,1,,,0.0,0
81,chondrosarcoma,1,CD38:B,0,1,,,0.0,0
82,chondrosarcoma,1,CD4:B,0,1,,,0.0,0
83,chondrosarcoma,1,CD44:B,0,1,,,0.0,0
84,chondrosarcoma,1,CD45:B,1,0,9317.96,9317.96,9317.96,0
85,chondrosarcoma,1,CD5:B,0,1,,,0.0,0
86,chondrosarcoma,1,CD56:B,1,0,35.65,35.65,35.65,0
87,chondrosarcoma,1,CD56+IgK:B,1,0,4045.96,4045.96,4045.96,0
88,chondrosarcoma,1,CD57:B,0,1,,,0.0,0
89,chondrosarcoma,1,CD58:B,0,1,,,0.0,0
90,chondrosarcoma,1,CD7:B,0,1,,,0.0,0
91,chondrosarcoma,1,CD71:B,0,1,,,0.0,0
92,chondrosarcoma,1,CD8:B,0,1,,,0.0,0
93,chondrosarcoma,1,CD8+IgL:B,1,0,218.77,218.77,218.77,0
94,chondrosarcoma,1,CD81:B,0,1,,,0.0,0
95,chondrosarcoma,1,CD8-CD99:B,0,1,,,0.0,0
96,chondrosarcoma,1,CD9:B,0,1,,,0.0,0
97,chondrosarcoma,1,CD90:B,0,1,,,0.0,0
98,chondrosarcoma,1,CD99:B,0,1,,,0.0,0
99,chondrosarcoma,1,cyCD3:B,0,1,,,0.0,0
100,chondrosarcoma,1,cyCD3+CD19:B,0,1,,,0.0,0
101,chondrosarcoma,1,cyCD79a:B,0,1,,,0.0,0
102,chondrosarcoma,1,EPCAM:B,0,1,,,0.0,0
103,chondrosarcoma,1,Epcam+CD4:B,0,1,,,0.0,0
104,chondrosarcoma,1,FSC-A:B,1,0,84061.8,84061.8,84061.8,0
105,chondrosarcoma,1,FSC-H:B,1,0,72493.0,72493.0,72493.0,0
106,chondrosarcoma,1,GD2:B,0,1,,,0.0,0
107,chondrosarcoma,1,HLADR:B,0,1,,,0.0,0
108,chondrosarcoma,1,MPO:B,0,1,,,0.0,0
109,chondrosarcoma,1,nuMIOGENIN:B,0,1,,,0.0,0
110,chondrosarcoma,1,nuMYOD:B,0,1,,,0.0,0
111,chondrosarcoma,1,OCT3/4:B,0,1,,,0.0,0
112,chondrosarcoma,1,SSC-A:B,1,0,10408.97,10408.97,10408.97,0
113,chondrosarcoma,1,SSC-H:B,0,1,,,0.0,0
114,chondrosarcoma,1,BV421:END,0,1,,,0.0,0
115,chondrosarcoma,1,CD10:END,0,1,,,0.0,0
116,chondrosarcoma,1,CD105:END,0,1,,,0.0,0
117,chondrosarcoma,1,CD117:END,0,1,,,0.0,0
118,chondrosarcoma,1,CD123:END,0,1,,,0.0,0
119,chondrosarcoma,1,CD14:END,0,1,,,0.0,0
120,chondrosarcoma,1,CD15:END,0,1,,,0.0,0
121,chondrosarcoma,1,CD16:END,0,1,,,0.0,0
