,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
0,Extraesqueletal Ewing Sarcoma,3,BV421:A,0,3,,,0.0,0.0
1,Extraesqueletal Ewing Sarcoma,3,CD10:A,2,1,125.86,505.78,315.82,72169.6032
2,Extraesqueletal Ewing Sarcoma,3,CD105:A,0,3,,,0.0,0.0
3,Extraesqueletal Ewing Sarcoma,3,CD117:A,2,1,51.56,103.59,77.575,1353.56045
4,Extraesqueletal Ewing Sarcoma,3,CD123:A,1,2,137.11,137.11,137.11,0.0
5,Extraesqueletal Ewing Sarcoma,3,CD14:A,1,2,-4.71,-4.71,-4.71,0.0
6,Extraesqueletal Ewing Sarcoma,3,CD15:A,0,3,,,0.0,0.0
7,Extraesqueletal Ewing Sarcoma,3,CD16:A,1,2,303.93,303.93,303.93,0.0
8,Extraesqueletal Ewing Sarcoma,3,CD19:A,2,1,86.73,252.1,169.415,13673.61845
9,Extraesqueletal Ewing Sarcoma,3,CD19_CD4:A,2,1,-800.79,539.8,-130.495,898590.77405
10,Extraesqueletal Ewing Sarcoma,3,CD19+TCRGD:A,1,2,73.43,73.43,73.43,0.0
11,Extraesqueletal Ewing Sarcoma,3,CD1a:A,0,3,,,0.0,0.0
12,Extraesqueletal Ewing Sarcoma,3,CD2:A,0,3,,,0.0,0.0
13,Extraesqueletal Ewing Sarcoma,3,CD20:A,2,1,-43.36,260.16,108.4,46062.1952
14,Extraesqueletal Ewing Sarcoma,3,CD20+CD4:A,1,2,170.9,170.9,170.9,0.0
15,Extraesqueletal Ewing Sarcoma,3,CD21:A,0,3,,,0.0,0.0
16,Extraesqueletal Ewing Sarcoma,3,CD22:A,0,3,,,0.0,0.0
17,Extraesqueletal Ewing Sarcoma,3,CD24:A,0,3,,,0.0,0.0
18,Extraesqueletal Ewing Sarcoma,3,CD271:A,2,1,369.47,2568.85,1469.16,2418636.1922
19,Extraesqueletal Ewing Sarcoma,3,CD28:A,1,2,235.54,235.54,235.54,0.0
20,Extraesqueletal Ewing Sarcoma,3,CD3:A,3,0,-503.76,487.41,64.6233333333,261503.284233
21,Extraesqueletal Ewing Sarcoma,3,CD30:A,0,3,,,0.0,0.0
22,Extraesqueletal Ewing Sarcoma,3,CD309:A,1,2,97.99,97.99,97.99,0.0
23,Extraesqueletal Ewing Sarcoma,3,CD34:A,3,0,245.12,1318.86,618.15,368760.0337
24,Extraesqueletal Ewing Sarcoma,3,CD38:A,3,0,7.89,135.6,76.34,4140.8031
25,Extraesqueletal Ewing Sarcoma,3,CD4:A,1,2,576.96,576.96,576.96,0.0
26,Extraesqueletal Ewing Sarcoma,3,CD44:A,1,2,68.89,68.89,68.89,0.0
27,Extraesqueletal Ewing Sarcoma,3,CD45:A,3,0,-230.22,212.25,55.24,61319.4771
28,Extraesqueletal Ewing Sarcoma,3,CD5:A,1,2,101.33,101.33,101.33,0.0
29,Extraesqueletal Ewing Sarcoma,3,CD56:A,3,0,884.22,46955.75,29569.3766667,626393347.745
30,Extraesqueletal Ewing Sarcoma,3,CD56+IgK:A,3,0,181.78,32722.83,13253.97,295418024.092
31,Extraesqueletal Ewing Sarcoma,3,CD57:A,3,0,94.11,621.02,306.92,77103.2851
32,Extraesqueletal Ewing Sarcoma,3,CD58:A,2,1,1254.25,1990.35,1622.3,270921.605
33,Extraesqueletal Ewing Sarcoma,3,CD7:A,2,1,47.88,94.27,71.075,1076.01605
34,Extraesqueletal Ewing Sarcoma,3,CD71:A,0,3,,,0.0,0.0
35,Extraesqueletal Ewing Sarcoma,3,CD8:A,1,2,-102.86,-102.86,-102.86,0.0
36,Extraesqueletal Ewing Sarcoma,3,CD8+IgL:A,3,0,10.73,521.57,230.406666667,69072.1340333
37,Extraesqueletal Ewing Sarcoma,3,CD81:A,3,0,3798.4,26819.93,14232.91,135972685.36
38,Extraesqueletal Ewing Sarcoma,3,CD8-CD99:A,0,3,,,0.0,0.0
39,Extraesqueletal Ewing Sarcoma,3,CD9:A,3,0,1334.24,9433.33,6244.56333333,18621632.7244
40,Extraesqueletal Ewing Sarcoma,3,CD90:A,3,0,129.56,4211.9,1666.21666667,4929976.07943
41,Extraesqueletal Ewing Sarcoma,3,CD99:A,3,0,273.32,6298.86,2527.33333333,10803918.1105
42,Extraesqueletal Ewing Sarcoma,3,cyCD3:A,2,1,1066.82,2232.0,1649.41,678822.2162
43,Extraesqueletal Ewing Sarcoma,3,cyCD3+CD19:A,0,3,,,0.0,0.0
44,Extraesqueletal Ewing Sarcoma,3,cyCD79a:A,2,1,251.69,5691.36,2971.525,14795004.8544
45,Extraesqueletal Ewing Sarcoma,3,EPCAM:A,3,0,84.81,127.61,111.01,527.08
46,Extraesqueletal Ewing Sarcoma,3,Epcam+CD4:A,0,3,,,0.0,0.0
47,Extraesqueletal Ewing Sarcoma,3,FSC-A:A,3,0,117768.56,159181.84,134409.943333,478343875.387
48,Extraesqueletal Ewing Sarcoma,3,FSC-H:A,2,1,89909.0,111457.0,100683.0,232158152.0
49,Extraesqueletal Ewing Sarcoma,3,GD2:A,3,0,49.02,1812.12,1072.59,837639.4437
50,Extraesqueletal Ewing Sarcoma,3,HLADR:A,1,2,394.41,394.41,394.41,0.0
51,Extraesqueletal Ewing Sarcoma,3,MPO:A,2,1,386.03,51253.07,25819.55,1293727879.18
52,Extraesqueletal Ewing Sarcoma,3,nuMIOGENIN:A,3,0,360.08,2917.48,1260.51666667,2064323.13803
53,Extraesqueletal Ewing Sarcoma,3,nuMYOD:A,3,0,279.09,788.16,506.966666667,66920.0664333
54,Extraesqueletal Ewing Sarcoma,3,OCT3/4:A,0,3,,,0.0,0.0
55,Extraesqueletal Ewing Sarcoma,3,SSC-A:A,3,0,21432.96,29520.0,24950.7866667,17179114.4325
56,Extraesqueletal Ewing Sarcoma,3,SSC-H:A,1,2,15986.0,15986.0,15986.0,0.0
57,Extraesqueletal Ewing Sarcoma,3,BV421:B,0,3,,,0.0,0.0
58,Extraesqueletal Ewing Sarcoma,3,CD10:B,0,3,,,0.0,0.0
59,Extraesqueletal Ewing Sarcoma,3,CD105:B,0,3,,,0.0,0.0
60,Extraesqueletal Ewing Sarcoma,3,CD117:B,0,3,,,0.0,0.0
61,Extraesqueletal Ewing Sarcoma,3,CD123:B,0,3,,,0.0,0.0
62,Extraesqueletal Ewing Sarcoma,3,CD14:B,0,3,,,0.0,0.0
63,Extraesqueletal Ewing Sarcoma,3,CD15:B,0,3,,,0.0,0.0
64,Extraesqueletal Ewing Sarcoma,3,CD16:B,0,3,,,0.0,0.0
65,Extraesqueletal Ewing Sarcoma,3,CD19:B,2,1,10250.67,21620.26,15935.465,64633788.384
66,Extraesqueletal Ewing Sarcoma,3,CD19_CD4:B,2,1,2357.92,4127.62,3242.77,1565919.045
67,Extraesqueletal Ewing Sarcoma,3,CD19+TCRGD:B,1,2,11079.31,11079.31,11079.31,0.0
68,Extraesqueletal Ewing Sarcoma,3,CD1a:B,0,3,,,0.0,0.0
69,Extraesqueletal Ewing Sarcoma,3,CD2:B,0,3,,,0.0,0.0
70,Extraesqueletal Ewing Sarcoma,3,CD20:B,1,2,17256.56,17256.56,17256.56,0.0
71,Extraesqueletal Ewing Sarcoma,3,CD20+CD4:B,1,2,14019.19,14019.19,14019.19,0.0
72,Extraesqueletal Ewing Sarcoma,3,CD21:B,0,3,,,0.0,0.0
73,Extraesqueletal Ewing Sarcoma,3,CD22:B,0,3,,,0.0,0.0
74,Extraesqueletal Ewing Sarcoma,3,CD24:B,0,3,,,0.0,0.0
75,Extraesqueletal Ewing Sarcoma,3,CD271:B,1,2,15.22,15.22,15.22,0.0
76,Extraesqueletal Ewing Sarcoma,3,CD28:B,0,3,,,0.0,0.0
77,Extraesqueletal Ewing Sarcoma,3,CD3:B,2,1,51.54,348.54,200.04,44104.5
78,Extraesqueletal Ewing Sarcoma,3,CD30:B,0,3,,,0.0,0.0
79,Extraesqueletal Ewing Sarcoma,3,CD309:B,0,3,,,0.0,0.0
80,Extraesqueletal Ewing Sarcoma,3,CD34:B,2,1,365.6,489.8,427.7,7712.82
81,Extraesqueletal Ewing Sarcoma,3,CD38:B,1,2,700.11,700.11,700.11,0.0
82,Extraesqueletal Ewing Sarcoma,3,CD4:B,0,3,,,0.0,0.0
83,Extraesqueletal Ewing Sarcoma,3,CD44:B,0,3,,,0.0,0.0
84,Extraesqueletal Ewing Sarcoma,3,CD45:B,3,0,433.94,3856.93,1745.52333333,3409003.15843
85,Extraesqueletal Ewing Sarcoma,3,CD5:B,1,2,293.98,293.98,293.98,0.0
86,Extraesqueletal Ewing Sarcoma,3,CD56:B,2,1,57.43,358.36,207.895,45279.43245
87,Extraesqueletal Ewing Sarcoma,3,CD56+IgK:B,3,0,1386.24,3932.1,2389.82,1837999.0524
88,Extraesqueletal Ewing Sarcoma,3,CD57:B,0,3,,,0.0,0.0
89,Extraesqueletal Ewing Sarcoma,3,CD58:B,0,3,,,0.0,0.0
90,Extraesqueletal Ewing Sarcoma,3,CD7:B,2,1,17.19,478.16,247.675,106246.67045
91,Extraesqueletal Ewing Sarcoma,3,CD71:B,0,3,,,0.0,0.0
92,Extraesqueletal Ewing Sarcoma,3,CD8:B,0,3,,,0.0,0.0
93,Extraesqueletal Ewing Sarcoma,3,CD8+IgL:B,3,0,284.67,1297.79,643.583333333,322001.648133
94,Extraesqueletal Ewing Sarcoma,3,CD81:B,1,2,627.43,627.43,627.43,0.0
