,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
0,germ cell tumor,10,BV421:A,5,5,661.55,2126.18,1387.83,273376.63585
1,germ cell tumor,10,CD10:A,9,1,23.3,598.91,231.164444444,31681.2785028
2,germ cell tumor,10,CD105:A,3,7,84.77,533.36,349.473333333,55206.7472333
3,germ cell tumor,10,CD117:A,3,7,67.15,156.74,121.7,2292.0721
4,germ cell tumor,10,CD123:A,0,10,,,0.0,0.0
5,germ cell tumor,10,CD14:A,1,9,-55.36,-55.36,-55.36,0.0
6,germ cell tumor,10,CD15:A,0,10,,,0.0,0.0
7,germ cell tumor,10,CD16:A,0,10,,,0.0,0.0
8,germ cell tumor,10,CD19:A,1,9,343.79,343.79,343.79,0.0
9,germ cell tumor,10,CD19_CD4:A,2,8,-485.53,356.62,-64.455,354608.31125
10,germ cell tumor,10,CD19+TCRGD:A,2,8,180.85,194.98,187.915,99.82845
11,germ cell tumor,10,CD1a:A,0,10,,,0.0,0.0
12,germ cell tumor,10,CD2:A,0,10,,,0.0,0.0
13,germ cell tumor,10,CD20:A,3,7,-648.29,1035.79,143.523333333,716599.515733
14,germ cell tumor,10,CD20+CD4:A,2,8,136.56,332.06,234.31,19110.125
15,germ cell tumor,10,CD21:A,0,10,,,0.0,0.0
16,germ cell tumor,10,CD22:A,0,10,,,0.0,0.0
17,germ cell tumor,10,CD24:A,0,10,,,0.0,0.0
18,germ cell tumor,10,CD271:A,4,6,178.74,425.01,321.055,12473.7895
19,germ cell tumor,10,CD28:A,0,10,,,0.0,0.0
20,germ cell tumor,10,CD3:A,4,6,-277.26,158.83,5.385,37369.6151
21,germ cell tumor,10,CD30:A,0,10,,,0.0,0.0
22,germ cell tumor,10,CD309:A,2,8,73.59,155.74,114.665,3374.31125
23,germ cell tumor,10,CD34:A,6,4,76.45,832.01,417.666666667,102557.196107
24,germ cell tumor,10,CD38:A,8,2,-7.69,827.95,168.9375,75614.7299357
25,germ cell tumor,10,CD4:A,0,10,,,0.0,0.0
26,germ cell tumor,10,CD44:A,3,7,68.41,287.68,211.056666667,15289.1436333
27,germ cell tumor,10,CD45:A,10,0,14.43,2623.28,611.318,570485.469084
28,germ cell tumor,10,CD5:A,2,8,34.28,46.55,40.415,75.27645
29,germ cell tumor,10,CD56:A,9,1,19.64,24767.43,4350.47333333,70377147.9047
30,germ cell tumor,10,CD56+IgK:A,4,6,42.4,18154.19,4905.6175,78209155.6084
31,germ cell tumor,10,CD57:A,8,2,90.76,581.51,269.37625,22391.0461982
32,germ cell tumor,10,CD58:A,2,8,577.42,1324.55,950.985,279101.61845
33,germ cell tumor,10,CD7:A,0,10,,,0.0,0.0
34,germ cell tumor,10,CD71:A,3,7,87.88,602.83,308.786666667,70305.1046333
35,germ cell tumor,10,CD8:A,0,10,,,0.0,0.0
36,germ cell tumor,10,CD8+IgL:A,4,6,52.41,927.9,306.0975,172917.069692
37,germ cell tumor,10,CD81:A,7,3,558.16,17709.95,6802.54571429,37491477.3504
38,germ cell tumor,10,CD8-CD99:A,4,6,217.72,2024.69,805.165,683410.339367
39,germ cell tumor,10,CD9:A,8,2,245.43,8979.36,3307.0425,9389576.73194
40,germ cell tumor,10,CD90:A,7,3,102.22,3794.16,1023.72857143,1653868.66685
41,germ cell tumor,10,CD99:A,8,2,112.87,666.29,426.615,49386.2146286
42,germ cell tumor,10,cyCD3:A,0,10,,,0.0,0.0
43,germ cell tumor,10,cyCD3+CD19:A,4,6,106.68,798.63,377.785,88308.3256333
44,germ cell tumor,10,cyCD79a:A,0,10,,,0.0,0.0
45,germ cell tumor,10,EPCAM:A,7,3,184.86,2407.84,914.567142857,619224.14959
46,germ cell tumor,10,Epcam+CD4:A,4,6,187.98,3144.03,1162.5175,1918591.72103
47,germ cell tumor,10,FSC-A:A,10,0,61384.05,182620.62,123111.351,1304299831.71
48,germ cell tumor,10,FSC-H:A,9,1,47930.0,133372.0,95205.3333333,662069654.25
49,germ cell tumor,10,GD2:A,9,1,247.82,1404.07,562.734444444,131312.958328
50,germ cell tumor,10,HLADR:A,0,10,,,0.0,0.0
51,germ cell tumor,10,MPO:A,0,10,,,0.0,0.0
52,germ cell tumor,10,nuMIOGENIN:A,6,4,144.36,414.25,274.948333333,12948.7384567
53,germ cell tumor,10,nuMYOD:A,7,3,52.68,793.89,361.112857143,62866.5001905
54,germ cell tumor,10,OCT3/4:A,1,9,938.94,938.94,938.94,0.0
55,germ cell tumor,10,SSC-A:A,10,0,9498.95,47361.6,24393.469,121749014.165
56,germ cell tumor,10,SSC-H:A,6,4,6745.0,19089.0,13833.9166667,16192859.9417
57,germ cell tumor,10,BV421:B,3,7,170.74,240.73,195.35,1548.1947
58,germ cell tumor,10,CD10:B,1,9,103.53,103.53,103.53,0.0
59,germ cell tumor,10,CD105:B,0,10,,,0.0,0.0
60,germ cell tumor,10,CD117:B,0,10,,,0.0,0.0
61,germ cell tumor,10,CD123:B,0,10,,,0.0,0.0
62,germ cell tumor,10,CD14:B,0,10,,,0.0,0.0
63,germ cell tumor,10,CD15:B,0,10,,,0.0,0.0
64,germ cell tumor,10,CD16:B,0,10,,,0.0,0.0
65,germ cell tumor,10,CD19:B,1,9,4291.83,4291.83,4291.83,0.0
66,germ cell tumor,10,CD19_CD4:B,2,8,2056.7,4008.81,3032.755,1905366.72605
67,germ cell tumor,10,CD19+TCRGD:B,2,8,9339.25,10183.8,9761.525,356632.35125
68,germ cell tumor,10,CD1a:B,0,10,,,0.0,0.0
69,germ cell tumor,10,CD2:B,0,10,,,0.0,0.0
70,germ cell tumor,10,CD20:B,1,9,2007.77,2007.77,2007.77,0.0
71,germ cell tumor,10,CD20+CD4:B,2,8,7372.81,15411.16,11391.985,32307535.3612
72,germ cell tumor,10,CD21:B,0,10,,,0.0,0.0
73,germ cell tumor,10,CD22:B,0,10,,,0.0,0.0
74,germ cell tumor,10,CD24:B,0,10,,,0.0,0.0
75,germ cell tumor,10,CD271:B,0,10,,,0.0,0.0
76,germ cell tumor,10,CD28:B,0,10,,,0.0,0.0
77,germ cell tumor,10,CD3:B,4,6,21.63,247.32,138.6125,8821.756225
78,germ cell tumor,10,CD30:B,0,10,,,0.0,0.0
79,germ cell tumor,10,CD309:B,0,10,,,0.0,0.0
80,germ cell tumor,10,CD34:B,1,9,161.49,161.49,161.49,0.0
81,germ cell tumor,10,CD38:B,2,8,1006.47,1624.27,1315.37,190838.42
82,germ cell tumor,10,CD4:B,0,10,,,0.0,0.0
83,germ cell tumor,10,CD44:B,0,10,,,0.0,0.0
84,germ cell tumor,10,CD45:B,7,3,236.07,3725.64,2233.4,1439417.552
85,germ cell tumor,10,CD5:B,2,8,242.2,262.24,252.22,200.8008
86,germ cell tumor,10,CD56:B,4,6,-2.22,116.85,32.7375,3169.82889167
87,germ cell tumor,10,CD56+IgK:B,4,6,322.52,628.5,431.535,19669.4761667
88,germ cell tumor,10,CD57:B,0,10,,,0.0,0.0
89,germ cell tumor,10,CD58:B,0,10,,,0.0,0.0
90,germ cell tumor,10,CD7:B,0,10,,,0.0,0.0
91,germ cell tumor,10,CD71:B,0,10,,,0.0,0.0
92,germ cell tumor,10,CD8:B,0,10,,,0.0,0.0
93,germ cell tumor,10,CD8+IgL:B,4,6,351.76,898.63,691.8125,65957.833825
94,germ cell tumor,10,CD81:B,0,10,,,0.0,0.0
95,germ cell tumor,10,CD8-CD99:B,3,7,108.01,136.71,125.1,228.4453
96,germ cell tumor,10,CD9:B,0,10,,,0.0,0.0
97,germ cell tumor,10,CD90:B,0,10,,,0.0,0.0
98,germ cell tumor,10,CD99:B,0,10,,,0.0,0.0
99,germ cell tumor,10,cyCD3:B,0,10,,,0.0,0.0
100,germ cell tumor,10,cyCD3+CD19:B,3,7,2283.91,2450.47,2387.18666667,8135.15843333
101,germ cell tumor,10,cyCD79a:B,0,10,,,0.0,0.0
102,germ cell tumor,10,EPCAM:B,0,10,,,0.0,0.0
103,germ cell tumor,10,Epcam+CD4:B,3,7,65.8,78.3,71.4266666667,40.2281333333
104,germ cell tumor,10,FSC-A:B,8,2,51622.2,132980.39,82072.8825,571684084.291
105,germ cell tumor,10,FSC-H:B,6,4,43950.0,80523.5,65747.5833333,149786201.842
106,germ cell tumor,10,GD2:B,3,7,42.45,124.14,85.4066666667,1681.69143333
107,germ cell tumor,10,HLADR:B,0,10,,,0.0,0.0
108,germ cell tumor,10,MPO:B,0,10,,,0.0,0.0
109,germ cell tumor,10,nuMIOGENIN:B,3,7,64.2,128.36,88.2066666667,1224.66253333
110,germ cell tumor,10,nuMYOD:B,0,10,,,0.0,0.0
111,germ cell tumor,10,OCT3/4:B,0,10,,,0.0,0.0
112,germ cell tumor,10,SSC-A:B,8,2,5068.8,13186.08,8765.99375,7805914.17588
113,germ cell tumor,10,SSC-H:B,1,9,6088.0,6088.0,6088.0,0.0
114,germ cell tumor,10,BV421:END,0,10,,,0.0,0.0
115,germ cell tumor,10,CD10:END,2,8,-238.26,963.02,362.38,721536.8192
116,germ cell tumor,10,CD105:END,0,10,,,0.0,0.0
117,germ cell tumor,10,CD117:END,1,9,106.15,106.15,106.15,0.0
118,germ cell tumor,10,CD123:END,0,10,,,0.0,0.0
119,germ cell tumor,10,CD14:END,0,10,,,0.0,0.0
120,germ cell tumor,10,CD15:END,0,10,,,0.0,0.0
121,germ cell tumor,10,CD16:END,0,10,,,0.0,0.0
122,germ cell tumor,10,CD19:END,1,9,1245.71,1245.71,1245.71,0.0
123,germ cell tumor,10,CD19_CD4:END,0,10,,,0.0,0.0
124,germ cell tumor,10,CD19+TCRGD:END,0,10,,,0.0,0.0
125,germ cell tumor,10,CD1a:END,0,10,,,0.0,0.0
126,germ cell tumor,10,CD2:END,0,10,,,0.0,0.0
127,germ cell tumor,10,CD20:END,1,9,666.76,666.76,666.76,0.0
128,germ cell tumor,10,CD20+CD4:END,0,10,,,0.0,0.0
129,germ cell tumor,10,CD21:END,0,10,,,0.0,0.0
130,germ cell tumor,10,CD22:END,0,10,,,0.0,0.0
131,germ cell tumor,10,CD24:END,0,10,,,0.0,0.0
132,germ cell tumor,10,CD271:END,0,10,,,0.0,0.0
133,germ cell tumor,10,CD28:END,0,10,,,0.0,0.0
134,germ cell tumor,10,CD3:END,0,10,,,0.0,0.0
135,germ cell tumor,10,CD30:END,0,10,,,0.0,0.0
136,germ cell tumor,10,CD309:END,0,10,,,0.0,0.0
137,germ cell tumor,10,CD34:END,2,8,28256.31,35129.35,31692.83,23619339.4208
138,germ cell tumor,10,CD38:END,1,9,20.87,20.87,20.87,0.0
139,germ cell tumor,10,CD4:END,0,10,,,0.0,0.0
140,germ cell tumor,10,CD44:END,0,10,,,0.0,0.0
141,germ cell tumor,10,CD45:END,2,8,96.64,159.62,128.13,1983.2402
142,germ cell tumor,10,CD5:END,0,10,,,0.0,0.0
143,germ cell tumor,10,CD56:END,1,9,-50.14,-50.14,-50.14,0.0
144,germ cell tumor,10,CD56+IgK:END,0,10,,,0.0,0.0
145,germ cell tumor,10,CD57:END,0,10,,,0.0,0.0
146,germ cell tumor,10,CD58:END,1,9,1392.65,1392.65,1392.65,0.0
147,germ cell tumor,10,CD7:END,0,10,,,0.0,0.0
148,germ cell tumor,10,CD71:END,0,10,,,0.0,0.0
149,germ cell tumor,10,CD8:END,0,10,,,0.0,0.0
150,germ cell tumor,10,CD8+IgL:END,0,10,,,0.0,0.0
151,germ cell tumor,10,CD81:END,0,10,,,0.0,0.0
152,germ cell tumor,10,CD8-CD99:END,0,10,,,0.0,0.0
153,germ cell tumor,10,CD9:END,0,10,,,0.0,0.0
154,germ cell tumor,10,CD90:END,0,10,,,0.0,0.0
155,germ cell tumor,10,CD99:END,0,10,,,0.0,0.0
156,germ cell tumor,10,cyCD3:END,0,10,,,0.0,0.0
157,germ cell tumor,10,cyCD3+CD19:END,0,10,,,0.0,0.0
158,germ cell tumor,10,cyCD79a:END,0,10,,,0.0,0.0
159,germ cell tumor,10,EPCAM:END,0,10,,,0.0,0.0
160,germ cell tumor,10,Epcam+CD4:END,0,10,,,0.0,0.0
161,germ cell tumor,10,FSC-A:END,2,8,95210.09,119864.75,107537.42,303926129.858
162,germ cell tumor,10,FSC-H:ENDE,1,9,79316.0,79316.0,79316.0,0.0
163,germ cell tumor,10,GD2:END,0,10,,,0.0,0.0
164,germ cell tumor,10,HLADR:END,0,10,,,0.0,0.0
165,germ cell tumor,10,MPO:END,0,10,,,0.0,0.0
166,germ cell tumor,10,nuMIOGENIN:END,0,10,,,0.0,0.0
167,germ cell tumor,10,nuMYOD:END,0,10,,,0.0,0.0
168,germ cell tumor,10,OCT3/4:END,0,10,,,0.0,0.0
169,germ cell tumor,10,SSC-A:END,2,8,20584.85,42971.76,31778.305,250586869.674
170,germ cell tumor,10,SSC-H:END,0,10,,,0.0,0.0
171,germ cell tumor,10,BV421:E,2,8,3837.29,4537.84,4187.565,245385.15125
172,germ cell tumor,10,CD10:E,0,10,,,0.0,0.0
173,germ cell tumor,10,CD105:E,0,10,,,0.0,0.0
174,germ cell tumor,10,CD117:E,0,10,,,0.0,0.0
175,germ cell tumor,10,CD123:E,0,10,,,0.0,0.0
