,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
0,mesoblastic nephroma,1,BV421:A,0,1,,,0.0,0
1,mesoblastic nephroma,1,CD10:A,1,0,14.09,14.09,14.09,0
2,mesoblastic nephroma,1,CD105:A,0,1,,,0.0,0
3,mesoblastic nephroma,1,CD117:A,1,0,41.18,41.18,41.18,0
4,mesoblastic nephroma,1,CD123:A,0,1,,,0.0,0
5,mesoblastic nephroma,1,CD14:A,0,1,,,0.0,0
6,mesoblastic nephroma,1,CD15:A,0,1,,,0.0,0
7,mesoblastic nephroma,1,CD16:A,0,1,,,0.0,0
8,mesoblastic nephroma,1,CD19:A,0,1,,,0.0,0
9,mesoblastic nephroma,1,CD19_CD4:A,0,1,,,0.0,0
10,mesoblastic nephroma,1,CD19+TCRGD:A,1,0,11.89,11.89,11.89,0
11,mesoblastic nephroma,1,CD1a:A,0,1,,,0.0,0
12,mesoblastic nephroma,1,CD2:A,0,1,,,0.0,0
13,mesoblastic nephroma,1,CD20:A,0,1,,,0.0,0
14,mesoblastic nephroma,1,CD20+CD4:A,1,0,84.01,84.01,84.01,0
15,mesoblastic nephroma,1,CD21:A,0,1,,,0.0,0
16,mesoblastic nephroma,1,CD22:A,0,1,,,0.0,0
17,mesoblastic nephroma,1,CD24:A,0,1,,,0.0,0
18,mesoblastic nephroma,1,CD271:A,1,0,18.03,18.03,18.03,0
19,mesoblastic nephroma,1,CD28:A,0,1,,,0.0,0
20,mesoblastic nephroma,1,CD3:A,1,0,53.82,53.82,53.82,0
21,mesoblastic nephroma,1,CD30:A,0,1,,,0.0,0
22,mesoblastic nephroma,1,CD309:A,1,0,25.07,25.07,25.07,0
23,mesoblastic nephroma,1,CD34:A,0,1,,,0.0,0
24,mesoblastic nephroma,1,CD38:A,1,0,8.26,8.26,8.26,0
25,mesoblastic nephroma,1,CD4:A,0,1,,,0.0,0
26,mesoblastic nephroma,1,CD44:A,1,0,24.4,24.4,24.4,0
27,mesoblastic nephroma,1,CD45:A,1,0,41.04,41.04,41.04,0
28,mesoblastic nephroma,1,CD5:A,1,0,102.8,102.8,102.8,0
29,mesoblastic nephroma,1,CD56:A,1,0,9.27,9.27,9.27,0
30,mesoblastic nephroma,1,CD56+IgK:A,1,0,24.61,24.61,24.61,0
31,mesoblastic nephroma,1,CD57:A,1,0,22.85,22.85,22.85,0
32,mesoblastic nephroma,1,CD58:A,1,0,377.43,377.43,377.43,0
33,mesoblastic nephroma,1,CD7:A,0,1,,,0.0,0
34,mesoblastic nephroma,1,CD71:A,0,1,,,0.0,0
35,mesoblastic nephroma,1,CD8:A,0,1,,,0.0,0
36,mesoblastic nephroma,1,CD8+IgL:A,1,0,30.37,30.37,30.37,0
37,mesoblastic nephroma,1,CD81:A,1,0,12.08,12.08,12.08,0
38,mesoblastic nephroma,1,CD8-CD99:A,0,1,,,0.0,0
39,mesoblastic nephroma,1,CD9:A,1,0,108.24,108.24,108.24,0
40,mesoblastic nephroma,1,CD90:A,1,0,26.86,26.86,26.86,0
41,mesoblastic nephroma,1,CD99:A,1,0,32.07,32.07,32.07,0
42,mesoblastic nephroma,1,cyCD3:A,0,1,,,0.0,0
43,mesoblastic nephroma,1,cyCD3+CD19:A,0,1,,,0.0,0
44,mesoblastic nephroma,1,cyCD79a:A,0,1,,,0.0,0
45,mesoblastic nephroma,1,EPCAM:A,1,0,36.79,36.79,36.79,0
46,mesoblastic nephroma,1,Epcam+CD4:A,0,1,,,0.0,0
47,mesoblastic nephroma,1,FSC-A:A,1,0,62780.9,62780.9,62780.9,0
