,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
0,Neuroblastic tumor,36,BV421:A,8,28,122.9,3694.24,943.01625,1282840.89851
1,Neuroblastic tumor,36,CD10:A,21,15,-849.26,385.2,64.8238095238,58347.9434448
2,Neuroblastic tumor,36,CD105:A,4,32,121.96,8964.97,3002.74,16617021.8637
3,Neuroblastic tumor,36,CD117:A,21,15,-107.78,2876.94,400.217142857,466371.211871
4,Neuroblastic tumor,36,CD123:A,16,20,220.59,16884.92,3237.316875,22722403.6393
5,Neuroblastic tumor,36,CD14:A,17,19,-462.97,3599.61,1056.05823529,1382853.04249
6,Neuroblastic tumor,36,CD15:A,3,33,132.63,12903.21,8153.04333333,48792813.3297
7,Neuroblastic tumor,36,CD16:A,16,20,171.43,2593.01,675.83875,429761.253185
8,Neuroblastic tumor,36,CD19:A,16,20,-22.73,649.75,149.73,37230.87452
9,Neuroblastic tumor,36,CD19_CD4:A,12,24,-3348.96,791.23,-213.089166667,1404493.23326
10,Neuroblastic tumor,36,CD19+TCRGD:A,8,28,70.05,2282.07,693.975,542651.510629
11,Neuroblastic tumor,36,CD1a:A,0,36,,,0.0,0.0
12,Neuroblastic tumor,36,CD2:A,0,36,,,0.0,0.0
13,Neuroblastic tumor,36,CD20:A,8,28,-67.17,285.95,66.76875,15423.9583839
14,Neuroblastic tumor,36,CD20+CD4:A,8,28,193.68,1310.36,582.41125,178840.954841
15,Neuroblastic tumor,36,CD21:A,0,36,,,0.0,0.0
16,Neuroblastic tumor,36,CD22:A,0,36,,,0.0,0.0
17,Neuroblastic tumor,36,CD24:A,0,36,,,0.0,0.0
18,Neuroblastic tumor,36,CD271:A,25,11,-2176.13,2599.61,222.1992,710802.767091
19,Neuroblastic tumor,36,CD28:A,7,29,150.09,2238.62,809.882857143,610939.504024
20,Neuroblastic tumor,36,CD3:A,27,9,-985.87,2366.25,302.625185185,391471.139749
21,Neuroblastic tumor,36,CD30:A,6,30,-97.8,623.84,188.56,58590.70076
22,Neuroblastic tumor,36,CD309:A,0,36,,,0.0,0.0
23,Neuroblastic tumor,36,CD34:A,23,13,-588.68,1608.87,543.533913043,246706.873125
24,Neuroblastic tumor,36,CD38:A,26,10,-5596.31,440.39,-384.535,1547894.65127
25,Neuroblastic tumor,36,CD4:A,7,29,100.88,908.37,372.341428571,80402.599081
26,Neuroblastic tumor,36,CD44:A,6,30,74.13,522.72,324.533333333,27028.6658267
27,Neuroblastic tumor,36,CD45:A,36,0,-150.6,1576.27,452.479444444,187287.780971
28,Neuroblastic tumor,36,CD5:A,11,25,-607.2,844.5,238.995454545,152704.616767
29,Neuroblastic tumor,36,CD56:A,36,0,318.37,138716.05,33679.0280556,1238714770.2
30,Neuroblastic tumor,36,CD56+IgK:A,20,16,258.36,78627.43,14825.387,466356021.756
31,Neuroblastic tumor,36,CD57:A,22,14,39.37,28150.89,2844.56909091,45654848.9843
32,Neuroblastic tumor,36,CD58:A,19,17,73.88,2282.12,695.739473684,408262.230305
33,Neuroblastic tumor,36,CD7:A,16,20,23.71,1291.18,218.21375,97132.0430783
34,Neuroblastic tumor,36,CD71:A,4,32,109.6,302.1,189.24,8364.6362
35,Neuroblastic tumor,36,CD8:A,9,27,-3266.64,963.29,-528.991111111,1825776.56299
36,Neuroblastic tumor,36,CD8+IgL:A,20,16,-124.09,1294.38,375.5465,149237.31014
37,Neuroblastic tumor,36,CD81:A,27,9,285.62,26986.22,6449.48555556,29064255.992
38,Neuroblastic tumor,36,CD8-CD99:A,7,29,232.58,1217.6,602.244285714,118341.968762
39,Neuroblastic tumor,36,CD9:A,28,8,-552.83,32724.67,8257.76,107184992.271
40,Neuroblastic tumor,36,CD90:A,24,12,-1147.04,258023.66,13384.3866667,2721424791.56
41,Neuroblastic tumor,36,CD99:A,28,8,-168.43,998.35,257.226785714,61796.0106374
42,Neuroblastic tumor,36,cyCD3:A,16,20,87.11,2400.76,971.99125,620782.515558
43,Neuroblastic tumor,36,cyCD3+CD19:A,7,29,-29.27,846.36,300.037142857,91662.2529238
44,Neuroblastic tumor,36,cyCD79a:A,16,20,33.27,358.52,165.5725,11421.4436733
45,Neuroblastic tumor,36,EPCAM:A,26,10,-1128.13,778.53,156.841538462,153846.510718
46,Neuroblastic tumor,36,Epcam+CD4:A,4,32,80.62,194.47,121.6,2499.29646667
47,Neuroblastic tumor,36,FSC-A:A,36,0,28749.6,192192.3,104233.136111,1769700001.97
48,Neuroblastic tumor,36,FSC-H:A,29,7,16293.0,139018.0,77246.7931034,1044319357.76
49,Neuroblastic tumor,36,GD2:A,32,4,403.16,121184.42,19888.83625,826869362.54
50,Neuroblastic tumor,36,HLADR:A,15,21,351.43,1983.43,778.339333333,167427.059935
51,Neuroblastic tumor,36,MPO:A,15,21,48.2,1167.2,364.091333333,83532.7568552
52,Neuroblastic tumor,36,nuMIOGENIN:A,22,14,25.93,1542.87,496.569545455,141834.577214
53,Neuroblastic tumor,36,nuMYOD:A,21,15,83.84,1620.09,498.27047619,161658.479025
54,Neuroblastic tumor,36,OCT3/4:A,1,35,4244.01,4244.01,4244.01,0.0
55,Neuroblastic tumor,36,SSC-A:A,34,2,6635.2,36334.08,20575.1670588,62977280.1491
56,Neuroblastic tumor,36,SSC-H:A,12,24,5703.0,23911.0,12213.6666667,33159396.7424
57,Neuroblastic tumor,36,BV421:B,7,29,187.58,335.65,244.048571429,2209.78271429
58,Neuroblastic tumor,36,CD10:B,2,34,43.36,48.45,45.905,12.95405
59,Neuroblastic tumor,36,CD105:B,0,36,,,0.0,0.0
60,Neuroblastic tumor,36,CD117:B,1,35,-5.2,-5.2,-5.2,0.0
61,Neuroblastic tumor,36,CD123:B,14,22,-17.2,356.8,157.93,11749.9903538
62,Neuroblastic tumor,36,CD14:B,15,21,18.35,141.56,67.286,1227.34288286
63,Neuroblastic tumor,36,CD15:B,2,34,76.83,89.76,83.295,83.59245
64,Neuroblastic tumor,36,CD16:B,14,22,77.39,830.89,249.274285714,68370.5757033
65,Neuroblastic tumor,36,CD19:B,19,17,3867.12,34741.72,9337.65894737,58854090.6195
66,Neuroblastic tumor,36,CD19_CD4:B,11,25,1507.07,5233.98,3080.53727273,1218407.38842
67,Neuroblastic tumor,36,CD19+TCRGD:B,8,28,3231.92,7881.6,6215.56,2184735.23917
68,Neuroblastic tumor,36,CD1a:B,0,36,,,0.0,0.0
69,Neuroblastic tumor,36,CD2:B,0,36,,,0.0,0.0
70,Neuroblastic tumor,36,CD20:B,4,32,293.96,18513.0,10537.2875,57043315.117
71,Neuroblastic tumor,36,CD20+CD4:B,8,28,2072.84,15973.08,8486.12375,19430422.2356
72,Neuroblastic tumor,36,CD21:B,0,36,,,0.0,0.0
73,Neuroblastic tumor,36,CD22:B,0,36,,,0.0,0.0
74,Neuroblastic tumor,36,CD24:B,0,36,,,0.0,0.0
75,Neuroblastic tumor,36,CD271:B,1,35,53.01,53.01,53.01,0.0
76,Neuroblastic tumor,36,CD28:B,5,31,76.89,343.76,195.292,10297.86937
77,Neuroblastic tumor,36,CD3:B,24,12,-2251.6,5342.49,299.08375,1459851.90447
78,Neuroblastic tumor,36,CD30:B,2,34,42.83,57.2,50.015,103.24845
79,Neuroblastic tumor,36,CD309:B,0,36,,,0.0,0.0
80,Neuroblastic tumor,36,CD34:B,19,17,-517.39,686.09,188.898421053,47657.8614807
81,Neuroblastic tumor,36,CD38:B,9,27,276.77,11795.38,4177.41888889,23428704.9084
82,Neuroblastic tumor,36,CD4:B,7,29,40.7,119.86,80.3442857143,1293.33819524
83,Neuroblastic tumor,36,CD44:B,0,36,,,0.0,0.0
84,Neuroblastic tumor,36,CD45:B,33,3,27.78,8982.78,2986.53606061,4596105.42334
85,Neuroblastic tumor,36,CD5:B,10,26,76.51,667.13,377.903,39075.4896233
86,Neuroblastic tumor,36,CD56:B,30,6,-2817.49,2198.43,63.797,474619.528704
87,Neuroblastic tumor,36,CD56+IgK:B,19,17,25.75,9300.01,1533.80578947,5583713.36728
88,Neuroblastic tumor,36,CD57:B,1,35,300.66,300.66,300.66,0.0
89,Neuroblastic tumor,36,CD58:B,0,36,,,0.0,0.0
90,Neuroblastic tumor,36,CD7:B,19,17,-15.65,163.07,35.9689473684,1906.34102105
91,Neuroblastic tumor,36,CD71:B,0,36,,,0.0,0.0
92,Neuroblastic tumor,36,CD8:B,8,28,52.74,284.02,161.27625,7149.7125125
93,Neuroblastic tumor,36,CD8+IgL:B,19,17,43.14,3510.63,699.636842105,772331.246834
94,Neuroblastic tumor,36,CD81:B,2,34,2259.73,4249.36,3254.545,1979313.76845
95,Neuroblastic tumor,36,CD8-CD99:B,7,29,97.55,360.64,198.377142857,9916.94539048
96,Neuroblastic tumor,36,CD9:B,2,34,2200.66,12748.87,7474.765,55632367.1021
97,Neuroblastic tumor,36,CD90:B,0,36,,,0.0,0.0
98,Neuroblastic tumor,36,CD99:B,4,32,39.49,86.01,56.945,406.269166667
99,Neuroblastic tumor,36,cyCD3:B,19,17,37.13,1360.46,491.877368421,151352.798532
100,Neuroblastic tumor,36,cyCD3+CD19:B,7,29,1027.61,3880.35,1921.49,922369.682167
101,Neuroblastic tumor,36,cyCD79a:B,19,17,42.88,2664.98,1079.13526316,594954.872249
102,Neuroblastic tumor,36,EPCAM:B,5,31,58.06,196.05,133.124,3298.42333
103,Neuroblastic tumor,36,Epcam+CD4:B,4,32,55.02,123.22,88.4875,775.814891667
104,Neuroblastic tumor,36,FSC-A:B,33,3,44166.6,113422.05,80592.4072727,352430486.511
105,Neuroblastic tumor,36,FSC-H:B,24,12,32278.0,98046.0,72440.0,231081271.652
106,Neuroblastic tumor,36,GD2:B,17,19,69.0,343.24,181.339411765,6174.43544338
107,Neuroblastic tumor,36,HLADR:B,14,22,2261.86,32931.09,10704.2935714,74939587.197
108,Neuroblastic tumor,36,MPO:B,18,18,36.84,263.88,132.617222222,3765.62200948
109,Neuroblastic tumor,36,nuMIOGENIN:B,7,29,35.58,239.17,123.438571429,6554.90971429
110,Neuroblastic tumor,36,nuMYOD:B,0,36,,,0.0,0.0
111,Neuroblastic tumor,36,OCT3/4:B,0,36,,,0.0,0.0
112,Neuroblastic tumor,36,SSC-A:B,31,5,5155.15,17917.92,9039.76387097,10249864.5599
113,Neuroblastic tumor,36,SSC-H:B,9,27,4244.0,12673.0,7585.11111111,7663093.42361
114,Neuroblastic tumor,36,BV421:END,0,36,,,0.0,0.0
115,Neuroblastic tumor,36,CD10:END,0,36,,,0.0,0.0
116,Neuroblastic tumor,36,CD105:END,0,36,,,0.0,0.0
117,Neuroblastic tumor,36,CD117:END,1,35,36.36,36.36,36.36,0.0
118,Neuroblastic tumor,36,CD123:END,0,36,,,0.0,0.0
119,Neuroblastic tumor,36,CD14:END,0,36,,,0.0,0.0
120,Neuroblastic tumor,36,CD15:END,0,36,,,0.0,0.0
121,Neuroblastic tumor,36,CD16:END,0,36,,,0.0,0.0
122,Neuroblastic tumor,36,CD19:END,4,32,-900.2,82.07,-202.38,220959.276467
123,Neuroblastic tumor,36,CD19_CD4:END,0,36,,,0.0,0.0
124,Neuroblastic tumor,36,CD19+TCRGD:END,0,36,,,0.0,0.0
125,Neuroblastic tumor,36,CD1a:END,0,36,,,0.0,0.0
126,Neuroblastic tumor,36,CD2:END,0,36,,,0.0,0.0
127,Neuroblastic tumor,36,CD20:END,0,36,,,0.0,0.0
128,Neuroblastic tumor,36,CD20+CD4:END,0,36,,,0.0,0.0
129,Neuroblastic tumor,36,CD21:END,0,36,,,0.0,0.0
130,Neuroblastic tumor,36,CD22:END,0,36,,,0.0,0.0
131,Neuroblastic tumor,36,CD24:END,0,36,,,0.0,0.0
132,Neuroblastic tumor,36,CD271:END,0,36,,,0.0,0.0
133,Neuroblastic tumor,36,CD28:END,0,36,,,0.0,0.0
134,Neuroblastic tumor,36,CD3:END,1,35,84.14,84.14,84.14,0.0
135,Neuroblastic tumor,36,CD30:END,0,36,,,0.0,0.0
136,Neuroblastic tumor,36,CD309:END,0,36,,,0.0,0.0
137,Neuroblastic tumor,36,CD34:END,7,29,977.35,27738.45,11626.2628571,74760164.6248
138,Neuroblastic tumor,36,CD38:END,0,36,,,0.0,0.0
139,Neuroblastic tumor,36,CD4:END,0,36,,,0.0,0.0
140,Neuroblastic tumor,36,CD44:END,0,36,,,0.0,0.0
141,Neuroblastic tumor,36,CD45:END,7,29,-30.78,1701.26,567.148571429,435204.643681
142,Neuroblastic tumor,36,CD5:END,0,36,,,0.0,0.0
143,Neuroblastic tumor,36,CD56:END,3,33,-534.9,1950.43,693.756666667,1544805.00243
144,Neuroblastic tumor,36,CD56+IgK:END,0,36,,,0.0,0.0
145,Neuroblastic tumor,36,CD57:END,2,34,49.28,140.26,94.77,4138.6802
146,Neuroblastic tumor,36,CD58:END,0,36,,,0.0,0.0
