,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
0,normal kidney,1,BV421:A,0,1,,,0.0,0
1,normal kidney,1,CD10:A,1,0,45213.89,45213.89,45213.89,0
2,normal kidney,1,CD105:A,0,1,,,0.0,0
3,normal kidney,1,CD117:A,1,0,141.68,141.68,141.68,0
4,normal kidney,1,CD123:A,0,1,,,0.0,0
5,normal kidney,1,CD14:A,0,1,,,0.0,0
6,normal kidney,1,CD15:A,0,1,,,0.0,0
7,normal kidney,1,CD16:A,0,1,,,0.0,0
8,normal kidney,1,CD19:A,0,1,,,0.0,0
9,normal kidney,1,CD19_CD4:A,0,1,,,0.0,0
10,normal kidney,1,CD19+TCRGD:A,1,0,93.22,93.22,93.22,0
11,normal kidney,1,CD1a:A,0,1,,,0.0,0
12,normal kidney,1,CD2:A,0,1,,,0.0,0
13,normal kidney,1,CD20:A,0,1,,,0.0,0
14,normal kidney,1,CD20+CD4:A,1,0,318.56,318.56,318.56,0
15,normal kidney,1,CD21:A,0,1,,,0.0,0
16,normal kidney,1,CD22:A,0,1,,,0.0,0
17,normal kidney,1,CD24:A,0,1,,,0.0,0
18,normal kidney,1,CD271:A,1,0,448.42,448.42,448.42,0
19,normal kidney,1,CD28:A,0,1,,,0.0,0
20,normal kidney,1,CD3:A,1,0,156.89,156.89,156.89,0
21,normal kidney,1,CD30:A,0,1,,,0.0,0
22,normal kidney,1,CD309:A,1,0,134.46,134.46,134.46,0
23,normal kidney,1,CD34:A,0,1,,,0.0,0
24,normal kidney,1,CD38:A,1,0,-58.52,-58.52,-58.52,0
25,normal kidney,1,CD4:A,0,1,,,0.0,0
26,normal kidney,1,CD44:A,1,0,980.45,980.45,980.45,0
27,normal kidney,1,CD45:A,1,0,780.22,780.22,780.22,0
28,normal kidney,1,CD5:A,1,0,356.59,356.59,356.59,0
29,normal kidney,1,CD56:A,1,0,47.0,47.0,47.0,0
30,normal kidney,1,CD56+IgK:A,1,0,180.94,180.94,180.94,0
31,normal kidney,1,CD57:A,1,0,589.38,589.38,589.38,0
32,normal kidney,1,CD58:A,1,0,633.72,633.72,633.72,0
33,normal kidney,1,CD7:A,0,1,,,0.0,0
34,normal kidney,1,CD71:A,0,1,,,0.0,0
35,normal kidney,1,CD8:A,0,1,,,0.0,0
36,normal kidney,1,CD8+IgL:A,1,0,779.22,779.22,779.22,0
37,normal kidney,1,CD81:A,1,0,162.54,162.54,162.54,0
38,normal kidney,1,CD8-CD99:A,0,1,,,0.0,0
39,normal kidney,1,CD9:A,1,0,1323.56,1323.56,1323.56,0
40,normal kidney,1,CD90:A,1,0,5690.5,5690.5,5690.5,0
41,normal kidney,1,CD99:A,1,0,456.46,456.46,456.46,0
42,normal kidney,1,cyCD3:A,0,1,,,0.0,0
43,normal kidney,1,cyCD3+CD19:A,0,1,,,0.0,0
44,normal kidney,1,cyCD79a:A,0,1,,,0.0,0
45,normal kidney,1,EPCAM:A,1,0,8244.77,8244.77,8244.77,0
46,normal kidney,1,Epcam+CD4:A,0,1,,,0.0,0
47,normal kidney,1,FSC-A:A,1,0,64063.09,64063.09,64063.09,0
48,normal kidney,1,FSC-H:A,1,0,48270.0,48270.0,48270.0,0
49,normal kidney,1,GD2:A,1,0,139.33,139.33,139.33,0
50,normal kidney,1,HLADR:A,1,0,7259.79,7259.79,7259.79,0
51,normal kidney,1,MPO:A,0,1,,,0.0,0
52,normal kidney,1,nuMIOGENIN:A,0,1,,,0.0,0
53,normal kidney,1,nuMYOD:A,0,1,,,0.0,0
54,normal kidney,1,OCT3/4:A,0,1,,,0.0,0
55,normal kidney,1,SSC-A:A,1,0,40332.96,40332.96,40332.96,0
56,normal kidney,1,SSC-H:A,0,1,,,0.0,0
57,normal kidney,1,BV421:B,0,1,,,0.0,0
58,normal kidney,1,CD10:B,0,1,,,0.0,0
59,normal kidney,1,CD105:B,0,1,,,0.0,0
60,normal kidney,1,CD117:B,0,1,,,0.0,0
61,normal kidney,1,CD123:B,0,1,,,0.0,0
62,normal kidney,1,CD14:B,0,1,,,0.0,0
63,normal kidney,1,CD15:B,0,1,,,0.0,0
64,normal kidney,1,CD16:B,0,1,,,0.0,0
65,normal kidney,1,CD19:B,0,1,,,0.0,0
66,normal kidney,1,CD19_CD4:B,0,1,,,0.0,0
67,normal kidney,1,CD19+TCRGD:B,0,1,,,0.0,0
68,normal kidney,1,CD1a:B,0,1,,,0.0,0
69,normal kidney,1,CD2:B,0,1,,,0.0,0
70,normal kidney,1,CD20:B,0,1,,,0.0,0
71,normal kidney,1,CD20+CD4:B,0,1,,,0.0,0
72,normal kidney,1,CD21:B,0,1,,,0.0,0
73,normal kidney,1,CD22:B,0,1,,,0.0,0
74,normal kidney,1,CD24:B,0,1,,,0.0,0
75,normal kidney,1,CD271:B,0,1,,,0.0,0
76,normal kidney,1,CD28:B,0,1,,,0.0,0
77,normal kidney,1,CD3:B,0,1,,,0.0,0
78,normal kidney,1,CD30:B,0,1,,,0.0,0
79,normal kidney,1,CD309:B,0,1,,,0.0,0
80,normal kidney,1,CD34:B,0,1,,,0.0,0
81,normal kidney,1,CD38:B,1,0,373.84,373.84,373.84,0
82,normal kidney,1,CD4:B,0,1,,,0.0,0
83,normal kidney,1,CD44:B,1,0,962.76,962.76,962.76,0
84,normal kidney,1,CD45:B,1,0,5151.0,5151.0,5151.0,0
85,normal kidney,1,CD5:B,0,1,,,0.0,0
86,normal kidney,1,CD56:B,1,0,-2160.47,-2160.47,-2160.47,0
87,normal kidney,1,CD56+IgK:B,0,1,,,0.0,0
88,normal kidney,1,CD57:B,0,1,,,0.0,0
89,normal kidney,1,CD58:B,0,1,,,0.0,0
90,normal kidney,1,CD7:B,0,1,,,0.0,0
91,normal kidney,1,CD71:B,0,1,,,0.0,0
92,normal kidney,1,CD8:B,0,1,,,0.0,0
93,normal kidney,1,CD8+IgL:B,0,1,,,0.0,0
94,normal kidney,1,CD81:B,0,1,,,0.0,0
95,normal kidney,1,CD8-CD99:B,0,1,,,0.0,0
96,normal kidney,1,CD9:B,0,1,,,0.0,0
97,normal kidney,1,CD90:B,0,1,,,0.0,0
98,normal kidney,1,CD99:B,0,1,,,0.0,0
99,normal kidney,1,cyCD3:B,0,1,,,0.0,0
100,normal kidney,1,cyCD3+CD19:B,0,1,,,0.0,0
101,normal kidney,1,cyCD79a:B,0,1,,,0.0,0
102,normal kidney,1,EPCAM:B,1,0,805.6,805.6,805.6,0
103,normal kidney,1,Epcam+CD4:B,0,1,,,0.0,0
104,normal kidney,1,FSC-A:B,1,0,60528.65,60528.65,60528.65,0
105,normal kidney,1,FSC-H:B,1,0,50152.0,50152.0,50152.0,0
106,normal kidney,1,GD2:B,0,1,,,0.0,0
107,normal kidney,1,HLADR:B,1,0,24639.81,24639.81,24639.81,0
108,normal kidney,1,MPO:B,0,1,,,0.0,0
109,normal kidney,1,nuMIOGENIN:B,0,1,,,0.0,0
110,normal kidney,1,nuMYOD:B,0,1,,,0.0,0
111,normal kidney,1,OCT3/4:B,0,1,,,0.0,0
112,normal kidney,1,SSC-A:B,1,0,13360.32,13360.32,13360.32,0
113,normal kidney,1,SSC-H:B,0,1,,,0.0,0
114,normal kidney,1,BV421:END,0,1,,,0.0,0
115,normal kidney,1,CD10:END,0,1,,,0.0,0
116,normal kidney,1,CD105:END,0,1,,,0.0,0
117,normal kidney,1,CD117:END,0,1,,,0.0,0
118,normal kidney,1,CD123:END,0,1,,,0.0,0
119,normal kidney,1,CD14:END,0,1,,,0.0,0
120,normal kidney,1,CD15:END,0,1,,,0.0,0
121,normal kidney,1,CD16:END,0,1,,,0.0,0
122,normal kidney,1,CD19:END,0,1,,,0.0,0
123,normal kidney,1,CD19_CD4:END,0,1,,,0.0,0
124,normal kidney,1,CD19+TCRGD:END,0,1,,,0.0,0
125,normal kidney,1,CD1a:END,0,1,,,0.0,0
126,normal kidney,1,CD2:END,0,1,,,0.0,0
127,normal kidney,1,CD20:END,0,1,,,0.0,0
128,normal kidney,1,CD20+CD4:END,0,1,,,0.0,0
129,normal kidney,1,CD21:END,0,1,,,0.0,0
130,normal kidney,1,CD22:END,0,1,,,0.0,0
131,normal kidney,1,CD24:END,0,1,,,0.0,0
132,normal kidney,1,CD271:END,0,1,,,0.0,0
133,normal kidney,1,CD28:END,0,1,,,0.0,0
134,normal kidney,1,CD3:END,0,1,,,0.0,0
135,normal kidney,1,CD30:END,0,1,,,0.0,0
136,normal kidney,1,CD309:END,0,1,,,0.0,0
137,normal kidney,1,CD34:END,0,1,,,0.0,0
138,normal kidney,1,CD38:END,0,1,,,0.0,0
139,normal kidney,1,CD4:END,0,1,,,0.0,0
140,normal kidney,1,CD44:END,0,1,,,0.0,0
141,normal kidney,1,CD45:END,0,1,,,0.0,0
142,normal kidney,1,CD5:END,0,1,,,0.0,0
143,normal kidney,1,CD56:END,0,1,,,0.0,0
144,normal kidney,1,CD56+IgK:END,0,1,,,0.0,0
145,normal kidney,1,CD57:END,0,1,,,0.0,0
146,normal kidney,1,CD58:END,0,1,,,0.0,0
147,normal kidney,1,CD7:END,0,1,,,0.0,0
148,normal kidney,1,CD71:END,0,1,,,0.0,0
149,normal kidney,1,CD8:END,0,1,,,0.0,0
150,normal kidney,1,CD8+IgL:END,0,1,,,0.0,0
151,normal kidney,1,CD81:END,0,1,,,0.0,0
152,normal kidney,1,CD8-CD99:END,0,1,,,0.0,0
153,normal kidney,1,CD9:END,0,1,,,0.0,0
154,normal kidney,1,CD90:END,0,1,,,0.0,0
155,normal kidney,1,CD99:END,0,1,,,0.0,0
156,normal kidney,1,cyCD3:END,0,1,,,0.0,0
157,normal kidney,1,cyCD3+CD19:END,0,1,,,0.0,0
158,normal kidney,1,cyCD79a:END,0,1,,,0.0,0
159,normal kidney,1,EPCAM:END,0,1,,,0.0,0
160,normal kidney,1,Epcam+CD4:END,0,1,,,0.0,0
161,normal kidney,1,FSC-A:END,0,1,,,0.0,0
162,normal kidney,1,FSC-H:ENDE,0,1,,,0.0,0
163,normal kidney,1,GD2:END,0,1,,,0.0,0
164,normal kidney,1,HLADR:END,0,1,,,0.0,0
165,normal kidney,1,MPO:END,0,1,,,0.0,0
166,normal kidney,1,nuMIOGENIN:END,0,1,,,0.0,0
167,normal kidney,1,nuMYOD:END,0,1,,,0.0,0
168,normal kidney,1,OCT3/4:END,0,1,,,0.0,0
169,normal kidney,1,SSC-A:END,0,1,,,0.0,0
170,normal kidney,1,SSC-H:END,0,1,,,0.0,0
171,normal kidney,1,BV421:E,0,1,,,0.0,0
172,normal kidney,1,CD10:E,0,1,,,0.0,0
173,normal kidney,1,CD105:E,0,1,,,0.0,0
174,normal kidney,1,CD117:E,0,1,,,0.0,0
175,normal kidney,1,CD123:E,0,1,,,0.0,0
176,normal kidney,1,CD14:E,0,1,,,0.0,0
177,normal kidney,1,CD15:E,0,1,,,0.0,0
178,normal kidney,1,CD16:E,0,1,,,0.0,0
179,normal kidney,1,CD19:E,0,1,,,0.0,0
180,normal kidney,1,CD19_CD4:E,0,1,,,0.0,0
181,normal kidney,1,CD19+TCRGD:E,0,1,,,0.0,0
182,normal kidney,1,CD1a:E,0,1,,,0.0,0
183,normal kidney,1,CD2:E,0,1,,,0.0,0
184,normal kidney,1,CD20:E,0,1,,,0.0,0
185,normal kidney,1,CD20+CD4:E,0,1,,,0.0,0
186,normal kidney,1,CD21:E,0,1,,,0.0,0
187,normal kidney,1,CD22:E,0,1,,,0.0,0
188,normal kidney,1,CD24:E,0,1,,,0.0,0
189,normal kidney,1,CD271:E,0,1,,,0.0,0
190,normal kidney,1,CD28:E,0,1,,,0.0,0
191,normal kidney,1,CD3:E,0,1,,,0.0,0
192,normal kidney,1,CD30:E,0,1,,,0.0,0
193,normal kidney,1,CD309:E,0,1,,,0.0,0
194,normal kidney,1,CD34:E,0,1,,,0.0,0
195,normal kidney,1,CD38:E,0,1,,,0.0,0
196,normal kidney,1,CD4:E,0,1,,,0.0,0
197,normal kidney,1,CD44:E,0,1,,,0.0,0
198,normal kidney,1,CD45:E,0,1,,,0.0,0
199,normal kidney,1,CD5:E,0,1,,,0.0,0
200,normal kidney,1,CD56:E,0,1,,,0.0,0
201,normal kidney,1,CD56+IgK:E,0,1,,,0.0,0
202,normal kidney,1,CD57:E,0,1,,,0.0,0
203,normal kidney,1,CD58:E,0,1,,,0.0,0
204,normal kidney,1,CD7:E,0,1,,,0.0,0
205,normal kidney,1,CD71:E,0,1,,,0.0,0
206,normal kidney,1,CD8:E,0,1,,,0.0,0
207,normal kidney,1,CD8+IgL:E,0,1,,,0.0,0
208,normal kidney,1,CD81:E,0,1,,,0.0,0
209,normal kidney,1,CD8-CD99:E,0,1,,,0.0,0
210,normal kidney,1,CD9:E,0,1,,,0.0,0
211,normal kidney,1,CD90:E,0,1,,,0.0,0
212,normal kidney,1,CD99:E,0,1,,,0.0,0
213,normal kidney,1,cyCD3:E,0,1,,,0.0,0
214,normal kidney,1,cyCD3+CD19:E,0,1,,,0.0,0
215,normal kidney,1,cyCD79a:E,0,1,,,0.0,0
216,normal kidney,1,EPCAM:E,0,1,,,0.0,0
217,normal kidney,1,Epcam+CD4:E,0,1,,,0.0,0
218,normal kidney,1,FSC-A:E,0,1,,,0.0,0
219,normal kidney,1,FSC-H:E,0,1,,,0.0,0
220,normal kidney,1,GD2:E,0,1,,,0.0,0
221,normal kidney,1,HLADR:E,0,1,,,0.0,0
222,normal kidney,1,MPO:E,0,1,,,0.0,0
223,normal kidney,1,nuMIOGENIN:E,0,1,,,0.0,0
224,normal kidney,1,nuMYOD:E,0,1,,,0.0,0
225,normal kidney,1,OCT3/4:E,0,1,,,0.0,0
226,normal kidney,1,SSC-A:E,0,1,,,0.0,0
227,normal kidney,1,SSC-H:E,0,1,,,0.0,0
228,normal kidney,1,BV421:L,0,1,,,0.0,0
229,normal kidney,1,CD10:L,1,0,-221.53,-221.53,-221.53,0
230,normal kidney,1,CD105:L,0,1,,,0.0,0
231,normal kidney,1,CD117:L,1,0,35.28,35.28,35.28,0
232,normal kidney,1,CD123:L,0,1,,,0.0,0
233,normal kidney,1,CD14:L,0,1,,,0.0,0
234,normal kidney,1,CD15:L,0,1,,,0.0,0
235,normal kidney,1,CD16:L,0,1,,,0.0,0
236,normal kidney,1,CD19:E.1,0,1,,,0.0,0
237,normal kidney,1,CD19_CD4:L,0,1,,,0.0,0
238,normal kidney,1,CD19+TCRGD:L,1,0,185.81,185.81,185.81,0
239,normal kidney,1,CD1a:L,0,1,,,0.0,0
240,normal kidney,1,CD2:L,0,1,,,0.0,0
241,normal kidney,1,CD20:L,0,1,,,0.0,0
242,normal kidney,1,CD20+CD4:L,1,0,418.63,418.63,418.63,0
243,normal kidney,1,CD21:L,0,1,,,0.0,0
244,normal kidney,1,CD22:L,0,1,,,0.0,0
245,normal kidney,1,CD24:L,0,1,,,0.0,0
246,normal kidney,1,CD271:L,1,0,127.68,127.68,127.68,0
247,normal kidney,1,CD28:L,0,1,,,0.0,0
248,normal kidney,1,CD3:L,1,0,987.55,987.55,987.55,0
249,normal kidney,1,CD30:L,0,1,,,0.0,0
250,normal kidney,1,CD309:L,1,0,36.46,36.46,36.46,0
251,normal kidney,1,CD34:L,0,1,,,0.0,0
252,normal kidney,1,CD38:L,1,0,1958.34,1958.34,1958.34,0
253,normal kidney,1,CD4:L,0,1,,,0.0,0
254,normal kidney,1,CD44:L,1,0,962.76,962.76,962.76,0
255,normal kidney,1,CD45:L,1,0,5899.77,5899.77,5899.77,0
256,normal kidney,1,CD5:L,1,0,914.5,914.5,914.5,0
257,normal kidney,1,CD56:L,1,0,109.83,109.83,109.83,0
258,normal kidney,1,CD56+IgK:L,1,0,343.36,343.36,343.36,0
259,normal kidney,1,CD57:L,1,0,65.66,65.66,65.66,0
260,normal kidney,1,CD58:L,1,0,853.72,853.72,853.72,0
261,normal kidney,1,CD7:L,0,1,,,0.0,0
262,normal kidney,1,CD71:L,0,1,,,0.0,0
263,normal kidney,1,CD8:L,0,1,,,0.0,0
264,normal kidney,1,CD8+IgL:L,1,0,866.78,866.78,866.78,0
265,normal kidney,1,CD81:L,1,0,1858.42,1858.42,1858.42,0
266,normal kidney,1,CD8-CD99:L,0,1,,,0.0,0
267,normal kidney,1,CD9:L,1,0,314.54,314.54,314.54,0
268,normal kidney,1,CD90:L,1,0,-7.85,-7.85,-7.85,0
269,normal kidney,1,CD99:L,1,0,268.74,268.74,268.74,0
270,normal kidney,1,cyCD3:L,0,1,,,0.0,0
271,normal kidney,1,cyCD3+CD19:L,0,1,,,0.0,0
272,normal kidney,1,cyCD79a:L,0,1,,,0.0,0
273,normal kidney,1,EPCAM:L,1,0,188.18,188.18,188.18,0
274,normal kidney,1,Epcam+CD4:L,0,1,,,0.0,0
275,normal kidney,1,FSC-A:L,1,0,70454.02,70454.02,70454.02,0
276,normal kidney,1,FSC-H:L,1,0,58291.0,58291.0,58291.0,0
277,normal kidney,1,GD2:L,1,0,86.39,86.39,86.39,0
278,normal kidney,1,HLADR:L,1,0,199.97,199.97,199.97,0
279,normal kidney,1,MPO:L,0,1,,,0.0,0
280,normal kidney,1,nuMIOGENIN:L,0,1,,,0.0,0
281,normal kidney,1,nuMYOD:L,0,1,,,0.0,0
282,normal kidney,1,OCT3/4:L,0,1,,,0.0,0
283,normal kidney,1,SSC-A:L,1,0,14680.8,14680.8,14680.8,0
284,normal kidney,1,SSC-H:L,0,1,,,0.0,0
285,normal kidney,1,BV421:MSC,0,1,,,0.0,0
286,normal kidney,1,CD10:MSC,0,1,,,0.0,0
287,normal kidney,1,CD105:MSC,0,1,,,0.0,0
288,normal kidney,1,CD117:MSC,0,1,,,0.0,0
289,normal kidney,1,CD123:MSC,0,1,,,0.0,0
290,normal kidney,1,CD14:MSC,0,1,,,0.0,0
291,normal kidney,1,CD15:MSC,0,1,,,0.0,0
292,normal kidney,1,CD16:MSC,0,1,,,0.0,0
293,normal kidney,1,CD19:MSC,0,1,,,0.0,0
294,normal kidney,1,CD19_CD4:MSC,0,1,,,0.0,0
295,normal kidney,1,CD19+TCRGD:MSC,0,1,,,0.0,0
296,normal kidney,1,CD1a:MSC,0,1,,,0.0,0
297,normal kidney,1,CD2:MSC,0,1,,,0.0,0
298,normal kidney,1,CD20:MSC,0,1,,,0.0,0
299,normal kidney,1,CD20+CD4:MSC,0,1,,,0.0,0
300,normal kidney,1,CD21:MSC,0,1,,,0.0,0
301,normal kidney,1,CD22:MSC,0,1,,,0.0,0
302,normal kidney,1,CD24:MSC,0,1,,,0.0,0
303,normal kidney,1,CD271:MSC,0,1,,,0.0,0
304,normal kidney,1,CD28:MSC,0,1,,,0.0,0
305,normal kidney,1,CD3:MSC,0,1,,,0.0,0
306,normal kidney,1,CD30:MSC,0,1,,,0.0,0
307,normal kidney,1,CD309:MSC,0,1,,,0.0,0
308,normal kidney,1,CD34:MSC,0,1,,,0.0,0
309,normal kidney,1,CD38:MSC,0,1,,,0.0,0
310,normal kidney,1,CD4:MSC,0,1,,,0.0,0
311,normal kidney,1,CD44:MSC,0,1,,,0.0,0
312,normal kidney,1,CD45:MSC,0,1,,,0.0,0
313,normal kidney,1,CD5:MSC,0,1,,,0.0,0
314,normal kidney,1,CD56:MSC,0,1,,,0.0,0
315,normal kidney,1,CD56+IgK:MSC,0,1,,,0.0,0
316,normal kidney,1,CD57:MSC,0,1,,,0.0,0
317,normal kidney,1,CD58:MSC,0,1,,,0.0,0
318,normal kidney,1,CD7:MSC,0,1,,,0.0,0
319,normal kidney,1,CD71:MSC,0,1,,,0.0,0
320,normal kidney,1,CD8:MSC,0,1,,,0.0,0
321,normal kidney,1,CD8+IgL:MSC,0,1,,,0.0,0
322,normal kidney,1,CD81:MSC,0,1,,,0.0,0
323,normal kidney,1,CD8-CD99:MSC,0,1,,,0.0,0
324,normal kidney,1,CD9:MSC,0,1,,,0.0,0
325,normal kidney,1,CD90:MSC,0,1,,,0.0,0
326,normal kidney,1,CD99:MSC,0,1,,,0.0,0
327,normal kidney,1,cyCD3:MSC,0,1,,,0.0,0
328,normal kidney,1,cyCD3+CD19:MSC,0,1,,,0.0,0
329,normal kidney,1,cyCD79a:MSC,0,1,,,0.0,0
330,normal kidney,1,EPCAM:MSC,0,1,,,0.0,0
331,normal kidney,1,Epcam+CD4:MSC,0,1,,,0.0,0
332,normal kidney,1,FSC-A:MSC,0,1,,,0.0,0
333,normal kidney,1,FSC-H:MSC,0,1,,,0.0,0
334,normal kidney,1,GD2:MSC,0,1,,,0.0,0
335,normal kidney,1,HLADR:MSC,0,1,,,0.0,0
336,normal kidney,1,MPO:MSC,0,1,,,0.0,0
337,normal kidney,1,nuMIOGENIN:MSC,0,1,,,0.0,0
338,normal kidney,1,nuMYOD:MSC,0,1,,,0.0,0
339,normal kidney,1,OCT3/4:MSC,0,1,,,0.0,0
340,normal kidney,1,SSC-A:MSC,0,1,,,0.0,0
341,normal kidney,1,SSC-H:MSC,0,1,,,0.0,0
342,normal kidney,1,BV421:MO,0,1,,,0.0,0
343,normal kidney,1,CD10:MO,1,0,-77.28,-77.28,-77.28,0
344,normal kidney,1,CD105:MO,0,1,,,0.0,0
345,normal kidney,1,CD117:MO,1,0,117.94,117.94,117.94,0
346,normal kidney,1,CD123:MO,0,1,,,0.0,0
347,normal kidney,1,CD14:MO,0,1,,,0.0,0
348,normal kidney,1,CD15:MO,0,1,,,0.0,0
349,normal kidney,1,CD16:MO,0,1,,,0.0,0
350,normal kidney,1,CD19:MO,0,1,,,0.0,0
351,normal kidney,1,CD19_CD4:MO,0,1,,,0.0,0
352,normal kidney,1,CD19+TCRGD:MO,1,0,189.04,189.04,189.04,0
353,normal kidney,1,CD1a:MO,0,1,,,0.0,0
354,normal kidney,1,CD2:MO,0,1,,,0.0,0
355,normal kidney,1,CD20:MO,0,1,,,0.0,0
356,normal kidney,1,CD20+CD4:MO,1,0,1822.14,1822.14,1822.14,0
357,normal kidney,1,CD21:MO,0,1,,,0.0,0
358,normal kidney,1,CD22:MO,0,1,,,0.0,0
359,normal kidney,1,CD24:MO,0,1,,,0.0,0
360,normal kidney,1,CD271:MO,1,0,226.43,226.43,226.43,0
361,normal kidney,1,CD28:MO,0,1,,,0.0,0
362,normal kidney,1,CD3:MO,1,0,401.74,401.74,401.74,0
363,normal kidney,1,CD30:MO,0,1,,,0.0,0
364,normal kidney,1,CD309:MO,1,0,54.37,54.37,54.37,0
365,normal kidney,1,CD34:MO,0,1,,,0.0,0
366,normal kidney,1,CD38:MO,1,0,1842.04,1842.04,1842.04,0
367,normal kidney,1,CD4:MO,0,1,,,0.0,0
368,normal kidney,1,CD44:MO,1,0,3279.34,3279.34,3279.34,0
369,normal kidney,1,CD45:MO,1,0,6103.98,6103.98,6103.98,0
370,normal kidney,1,CD5:MO,1,0,249.48,249.48,249.48,0
371,normal kidney,1,CD56:MO,1,0,27.91,27.91,27.91,0
372,normal kidney,1,CD56+IgK:MO,1,0,704.9,704.9,704.9,0
373,normal kidney,1,CD57:MO,1,0,124.3,124.3,124.3,0
374,normal kidney,1,CD58:MO,1,0,3035.15,3035.15,3035.15,0
375,normal kidney,1,CD7:MO,0,1,,,0.0,0
376,normal kidney,1,CD71:MO,0,1,,,0.0,0
377,normal kidney,1,CD8:MO,0,1,,,0.0,0
378,normal kidney,1,CD8+IgL:MO,1,0,2250.99,2250.99,2250.99,0
379,normal kidney,1,CD81:MO,1,0,1147.73,1147.73,1147.73,0
380,normal kidney,1,CD8-CD99:MO,0,1,,,0.0,0
381,normal kidney,1,CD9:MO,1,0,882.6,882.6,882.6,0
382,normal kidney,1,CD90:MO,1,0,40.86,40.86,40.86,0
383,normal kidney,1,CD99:MO,1,0,449.86,449.86,449.86,0
384,normal kidney,1,cyCD3:MO,0,1,,,0.0,0
385,normal kidney,1,cyCD3+CD19:MO,0,1,,,0.0,0
386,normal kidney,1,cyCD79a:MO,0,1,,,0.0,0
387,normal kidney,1,EPCAM:MO,1,0,675.35,675.35,675.35,0
388,normal kidney,1,Epcam+CD4:MO,0,1,,,0.0,0
389,normal kidney,1,FSC-A:MO,1,0,107903.25,107903.25,107903.25,0
390,normal kidney,1,FSC-H:MO,1,0,81871.5,81871.5,81871.5,0
391,normal kidney,1,GD2:MO,1,0,215.05,215.05,215.05,0
392,normal kidney,1,HLADR:MO,1,0,10418.1,10418.1,10418.1,0
393,normal kidney,1,MPO:MO,0,1,,,0.0,0
394,normal kidney,1,nuMIOGENIN:MO,0,1,,,0.0,0
395,normal kidney,1,nuMYOD:MO,0,1,,,0.0,0
396,normal kidney,1,OCT3/4:MO,0,1,,,0.0,0
397,normal kidney,1,SSC-A:MO,1,0,45800.64,45800.64,45800.64,0
398,normal kidney,1,SSC-H:MO,0,1,,,0.0,0
399,normal kidney,1,BV421:N,0,1,,,0.0,0
400,normal kidney,1,CD10:N,1,0,1713.87,1713.87,1713.87,0
401,normal kidney,1,CD105:N,0,1,,,0.0,0
402,normal kidney,1,CD117:N,1,0,217.97,217.97,217.97,0
403,normal kidney,1,CD123:N,0,1,,,0.0,0
404,normal kidney,1,CD14:N,0,1,,,0.0,0
405,normal kidney,1,CD15:N,0,1,,,0.0,0
406,normal kidney,1,CD16:N,0,1,,,0.0,0
407,normal kidney,1,CD19:N,0,1,,,0.0,0
408,normal kidney,1,CD19_CD4:N,0,1,,,0.0,0
409,normal kidney,1,CD19+TCRGD:N,1,0,196.48,196.48,196.48,0
410,normal kidney,1,CD1a:N,0,1,,,0.0,0
411,normal kidney,1,CD2:N,0,1,,,0.0,0
412,normal kidney,1,CD20:N,0,1,,,0.0,0
413,normal kidney,1,CD20+CD4:N,1,0,634.39,634.39,634.39,0
414,normal kidney,1,CD21:N,0,1,,,0.0,0
415,normal kidney,1,CD22:N,0,1,,,0.0,0
416,normal kidney,1,CD24:N,0,1,,,0.0,0
417,normal kidney,1,CD271:N,1,0,356.32,356.32,356.32,0
418,normal kidney,1,CD28:N,0,1,,,0.0,0
419,normal kidney,1,CD3:N,1,0,320.24,320.24,320.24,0
420,normal kidney,1,CD30:N,0,1,,,0.0,0
421,normal kidney,1,CD309:N,1,0,88.15,88.15,88.15,0
422,normal kidney,1,CD34:N,0,1,,,0.0,0
