,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
0,osteosarcoma,1,BV421:A,0,1,,,0.0,0
1,osteosarcoma,1,CD10:A,1,0,305.83,305.83,305.83,0
2,osteosarcoma,1,CD105:A,1,0,834.17,834.17,834.17,0
3,osteosarcoma,1,CD117:A,1,0,291.18,291.18,291.18,0
4,osteosarcoma,1,CD123:A,0,1,,,0.0,0
5,osteosarcoma,1,CD14:A,0,1,,,0.0,0
6,osteosarcoma,1,CD15:A,0,1,,,0.0,0
7,osteosarcoma,1,CD16:A,0,1,,,0.0,0
8,osteosarcoma,1,CD19:A,0,1,,,0.0,0
9,osteosarcoma,1,CD19_CD4:A,0,1,,,0.0,0
10,osteosarcoma,1,CD19+TCRGD:A,0,1,,,0.0,0
11,osteosarcoma,1,CD1a:A,0,1,,,0.0,0
12,osteosarcoma,1,CD2:A,0,1,,,0.0,0
13,osteosarcoma,1,CD20:A,0,1,,,0.0,0
14,osteosarcoma,1,CD20+CD4:A,0,1,,,0.0,0
15,osteosarcoma,1,CD21:A,0,1,,,0.0,0
16,osteosarcoma,1,CD22:A,0,1,,,0.0,0
17,osteosarcoma,1,CD24:A,0,1,,,0.0,0
18,osteosarcoma,1,CD271:A,1,0,7860.88,7860.88,7860.88,0
19,osteosarcoma,1,CD28:A,0,1,,,0.0,0
20,osteosarcoma,1,CD3:A,0,1,,,0.0,0
21,osteosarcoma,1,CD30:A,0,1,,,0.0,0
22,osteosarcoma,1,CD309:A,1,0,141.11,141.11,141.11,0
23,osteosarcoma,1,CD34:A,0,1,,,0.0,0
24,osteosarcoma,1,CD38:A,1,0,566.22,566.22,566.22,0
25,osteosarcoma,1,CD4:A,0,1,,,0.0,0
26,osteosarcoma,1,CD44:A,1,0,391.83,391.83,391.83,0
27,osteosarcoma,1,CD45:A,1,0,1223.96,1223.96,1223.96,0
28,osteosarcoma,1,CD5:A,0,1,,,0.0,0
29,osteosarcoma,1,CD56:A,1,0,1577.71,1577.71,1577.71,0
30,osteosarcoma,1,CD56+IgK:A,0,1,,,0.0,0
31,osteosarcoma,1,CD57:A,1,0,353.33,353.33,353.33,0
32,osteosarcoma,1,CD58:A,0,1,,,0.0,0
33,osteosarcoma,1,CD7:A,0,1,,,0.0,0
34,osteosarcoma,1,CD71:A,1,0,905.37,905.37,905.37,0
35,osteosarcoma,1,CD8:A,1,0,899.83,899.83,899.83,0
36,osteosarcoma,1,CD8+IgL:A,0,1,,,0.0,0
37,osteosarcoma,1,CD81:A,1,0,4274.57,4274.57,4274.57,0
38,osteosarcoma,1,CD8-CD99:A,0,1,,,0.0,0
39,osteosarcoma,1,CD9:A,1,0,1517.38,1517.38,1517.38,0
40,osteosarcoma,1,CD90:A,1,0,488.96,488.96,488.96,0
41,osteosarcoma,1,CD99:A,1,0,357.48,357.48,357.48,0
42,osteosarcoma,1,cyCD3:A,0,1,,,0.0,0
43,osteosarcoma,1,cyCD3+CD19:A,1,0,4035.09,4035.09,4035.09,0
44,osteosarcoma,1,cyCD79a:A,0,1,,,0.0,0
45,osteosarcoma,1,EPCAM:A,1,0,453.19,453.19,453.19,0
46,osteosarcoma,1,Epcam+CD4:A,1,0,473.13,473.13,473.13,0
47,osteosarcoma,1,FSC-A:A,1,0,159972.3,159972.3,159972.3,0
48,osteosarcoma,1,FSC-H:A,1,0,114861.0,114861.0,114861.0,0
49,osteosarcoma,1,GD2:A,1,0,4390.92,4390.92,4390.92,0
50,osteosarcoma,1,HLADR:A,0,1,,,0.0,0
51,osteosarcoma,1,MPO:A,0,1,,,0.0,0
52,osteosarcoma,1,nuMIOGENIN:A,0,1,,,0.0,0
53,osteosarcoma,1,nuMYOD:A,1,0,846.6,846.6,846.6,0
54,osteosarcoma,1,OCT3/4:A,0,1,,,0.0,0
55,osteosarcoma,1,SSC-A:A,1,0,35545.51,35545.51,35545.51,0
56,osteosarcoma,1,SSC-H:A,1,0,19911.0,19911.0,19911.0,0
57,osteosarcoma,1,BV421:B,0,1,,,0.0,0
58,osteosarcoma,1,CD10:B,0,1,,,0.0,0
59,osteosarcoma,1,CD105:B,0,1,,,0.0,0
60,osteosarcoma,1,CD117:B,0,1,,,0.0,0
61,osteosarcoma,1,CD123:B,0,1,,,0.0,0
62,osteosarcoma,1,CD14:B,0,1,,,0.0,0
63,osteosarcoma,1,CD15:B,0,1,,,0.0,0
64,osteosarcoma,1,CD16:B,0,1,,,0.0,0
65,osteosarcoma,1,CD19:B,0,1,,,0.0,0
66,osteosarcoma,1,CD19_CD4:B,0,1,,,0.0,0
67,osteosarcoma,1,CD19+TCRGD:B,0,1,,,0.0,0
68,osteosarcoma,1,CD1a:B,0,1,,,0.0,0
69,osteosarcoma,1,CD2:B,0,1,,,0.0,0
70,osteosarcoma,1,CD20:B,0,1,,,0.0,0
71,osteosarcoma,1,CD20+CD4:B,0,1,,,0.0,0
72,osteosarcoma,1,CD21:B,0,1,,,0.0,0
73,osteosarcoma,1,CD22:B,0,1,,,0.0,0
74,osteosarcoma,1,CD24:B,0,1,,,0.0,0
75,osteosarcoma,1,CD271:B,1,0,544.71,544.71,544.71,0
76,osteosarcoma,1,CD28:B,0,1,,,0.0,0
77,osteosarcoma,1,CD3:B,0,1,,,0.0,0
78,osteosarcoma,1,CD30:B,0,1,,,0.0,0
79,osteosarcoma,1,CD309:B,0,1,,,0.0,0
