,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
0,renal carcinoma,1,BV421:A,1,0,8057.21,8057.21,8057.21,0
1,renal carcinoma,1,CD10:A,1,0,158.62,158.62,158.62,0
2,renal carcinoma,1,CD105:A,1,0,64.1,64.1,64.1,0
3,renal carcinoma,1,CD117:A,1,0,3747.63,3747.63,3747.63,0
4,renal carcinoma,1,CD123:A,0,1,,,0.0,0
5,renal carcinoma,1,CD14:A,0,1,,,0.0,0
6,renal carcinoma,1,CD15:A,0,1,,,0.0,0
7,renal carcinoma,1,CD16:A,0,1,,,0.0,0
8,renal carcinoma,1,CD19:A,0,1,,,0.0,0
9,renal carcinoma,1,CD19_CD4:A,0,1,,,0.0,0
10,renal carcinoma,1,CD19+TCRGD:A,1,0,595.54,595.54,595.54,0
11,renal carcinoma,1,CD1a:A,0,1,,,0.0,0
12,renal carcinoma,1,CD2:A,0,1,,,0.0,0
13,renal carcinoma,1,CD20:A,0,1,,,0.0,0
14,renal carcinoma,1,CD20+CD4:A,1,0,214.87,214.87,214.87,0
15,renal carcinoma,1,CD21:A,0,1,,,0.0,0
16,renal carcinoma,1,CD22:A,0,1,,,0.0,0
17,renal carcinoma,1,CD24:A,0,1,,,0.0,0
18,renal carcinoma,1,CD271:A,0,1,,,0.0,0
19,renal carcinoma,1,CD28:A,0,1,,,0.0,0
20,renal carcinoma,1,CD3:A,1,0,633.85,633.85,633.85,0
21,renal carcinoma,1,CD30:A,0,1,,,0.0,0
22,renal carcinoma,1,CD309:A,1,0,7.82,7.82,7.82,0
23,renal carcinoma,1,CD34:A,0,1,,,0.0,0
24,renal carcinoma,1,CD38:A,1,0,1676.91,1676.91,1676.91,0
25,renal carcinoma,1,CD4:A,0,1,,,0.0,0
26,renal carcinoma,1,CD44:A,1,0,209.07,209.07,209.07,0
27,renal carcinoma,1,CD45:A,1,0,260.84,260.84,260.84,0
28,renal carcinoma,1,CD5:A,1,0,515.62,515.62,515.62,0
29,renal carcinoma,1,CD56:A,1,0,3875.52,3875.52,3875.52,0
30,renal carcinoma,1,CD56+IgK:A,1,0,322.43,322.43,322.43,0
31,renal carcinoma,1,CD57:A,1,0,129.84,129.84,129.84,0
32,renal carcinoma,1,CD58:A,0,1,,,0.0,0
33,renal carcinoma,1,CD7:A,0,1,,,0.0,0
34,renal carcinoma,1,CD71:A,1,0,817.91,817.91,817.91,0
35,renal carcinoma,1,CD8:A,0,1,,,0.0,0
36,renal carcinoma,1,CD8+IgL:A,1,0,418.53,418.53,418.53,0
37,renal carcinoma,1,CD81:A,1,0,59808.77,59808.77,59808.77,0
38,renal carcinoma,1,CD8-CD99:A,0,1,,,0.0,0
39,renal carcinoma,1,CD9:A,1,0,51.78,51.78,51.78,0
40,renal carcinoma,1,CD90:A,1,0,5.06,5.06,5.06,0
41,renal carcinoma,1,CD99:A,1,0,-42.58,-42.58,-42.58,0
42,renal carcinoma,1,cyCD3:A,0,1,,,0.0,0
