,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
0,rhabdomyosarcoma,7,BV421:A,2,5,21484.6,33162.68,27323.64,68188776.2432
1,rhabdomyosarcoma,7,CD10:A,3,4,-3.66,602.47,282.366666667,92719.3086333
2,rhabdomyosarcoma,7,CD105:A,1,6,103.1,103.1,103.1,0.0
3,rhabdomyosarcoma,7,CD117:A,5,2,9.17,664.03,231.11,71552.04855
4,rhabdomyosarcoma,7,CD123:A,1,6,1243.54,1243.54,1243.54,0.0
5,rhabdomyosarcoma,7,CD14:A,1,6,468.33,468.33,468.33,0.0
6,rhabdomyosarcoma,7,CD15:A,0,7,,,0.0,0.0
7,rhabdomyosarcoma,7,CD16:A,1,6,2169.59,2169.59,2169.59,0.0
8,rhabdomyosarcoma,7,CD19:A,1,6,64.25,64.25,64.25,0.0
9,rhabdomyosarcoma,7,CD19_CD4:A,1,6,311.85,311.85,311.85,0.0
10,rhabdomyosarcoma,7,CD19+TCRGD:A,0,7,,,0.0,0.0
11,rhabdomyosarcoma,7,CD1a:A,0,7,,,0.0,0.0
12,rhabdomyosarcoma,7,CD2:A,0,7,,,0.0,0.0
13,rhabdomyosarcoma,7,CD20:A,1,6,119.99,119.99,119.99,0.0
14,rhabdomyosarcoma,7,CD20+CD4:A,0,7,,,0.0,0.0
15,rhabdomyosarcoma,7,CD21:A,0,7,,,0.0,0.0
16,rhabdomyosarcoma,7,CD22:A,0,7,,,0.0,0.0
17,rhabdomyosarcoma,7,CD24:A,0,7,,,0.0,0.0
18,rhabdomyosarcoma,7,CD271:A,1,6,37396.8,37396.8,37396.8,0.0
19,rhabdomyosarcoma,7,CD28:A,0,7,,,0.0,0.0
20,rhabdomyosarcoma,7,CD3:A,4,3,35.39,500.46,211.775,43121.4581667
21,rhabdomyosarcoma,7,CD30:A,0,7,,,0.0,0.0
22,rhabdomyosarcoma,7,CD309:A,1,6,73.18,73.18,73.18,0.0
23,rhabdomyosarcoma,7,CD34:A,4,3,235.65,1143.93,724.2,232439.552467
24,rhabdomyosarcoma,7,CD38:A,4,3,-2242.03,615.49,-396.8325,1592665.21736
25,rhabdomyosarcoma,7,CD4:A,2,5,601.86,3064.38,1833.12,3032002.3752
26,rhabdomyosarcoma,7,CD44:A,2,5,54.64,192.98,123.81,9568.9778
27,rhabdomyosarcoma,7,CD45:A,7,0,11.54,724.32,255.635714286,76112.3156286
28,rhabdomyosarcoma,7,CD5:A,0,7,,,0.0,0.0
