,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
0,sopharyngeal carcinoma,1,BV421:A,0,1,,,0.0,0
1,sopharyngeal carcinoma,1,CD10:A,1,0,39.37,39.37,39.37,0
2,sopharyngeal carcinoma,1,CD105:A,0,1,,,0.0,0
3,sopharyngeal carcinoma,1,CD117:A,0,1,,,0.0,0
4,sopharyngeal carcinoma,1,CD123:A,1,0,91.64,91.64,91.64,0
5,sopharyngeal carcinoma,1,CD14:A,0,1,,,0.0,0
6,sopharyngeal carcinoma,1,CD15:A,1,0,107.24,107.24,107.24,0
7,sopharyngeal carcinoma,1,CD16:A,0,1,,,0.0,0
8,sopharyngeal carcinoma,1,CD19:A,0,1,,,0.0,0
9,sopharyngeal carcinoma,1,CD19_CD4:A,0,1,,,0.0,0
10,sopharyngeal carcinoma,1,CD19+TCRGD:A,1,0,11.48,11.48,11.48,0
11,sopharyngeal carcinoma,1,CD1a:A,0,1,,,0.0,0
12,sopharyngeal carcinoma,1,CD2:A,0,1,,,0.0,0
13,sopharyngeal carcinoma,1,CD20:A,1,0,59.33,59.33,59.33,0
14,sopharyngeal carcinoma,1,CD20+CD4:A,1,0,176.72,176.72,176.72,0
15,sopharyngeal carcinoma,1,CD21:A,0,1,,,0.0,0
16,sopharyngeal carcinoma,1,CD22:A,0,1,,,0.0,0
17,sopharyngeal carcinoma,1,CD24:A,0,1,,,0.0,0
18,sopharyngeal carcinoma,1,CD271:A,1,0,26.17,26.17,26.17,0
19,sopharyngeal carcinoma,1,CD28:A,0,1,,,0.0,0
20,sopharyngeal carcinoma,1,CD3:A,1,0,36.54,36.54,36.54,0
21,sopharyngeal carcinoma,1,CD30:A,1,0,42.08,42.08,42.08,0
22,sopharyngeal carcinoma,1,CD309:A,0,1,,,0.0,0
23,sopharyngeal carcinoma,1,CD34:A,0,1,,,0.0,0
24,sopharyngeal carcinoma,1,CD38:A,1,0,6.18,6.18,6.18,0
25,sopharyngeal carcinoma,1,CD4:A,0,1,,,0.0,0
