,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
0,thyroid-like follicular carcinoma of kidney,1,BV421:A,1,0,492.46,492.46,492.46,0
1,thyroid-like follicular carcinoma of kidney,1,CD10:A,0,1,,,0.0,0
2,thyroid-like follicular carcinoma of kidney,1,CD105:A,0,1,,,0.0,0
3,thyroid-like follicular carcinoma of kidney,1,CD117:A,0,1,,,0.0,0
4,thyroid-like follicular carcinoma of kidney,1,CD123:A,0,1,,,0.0,0
5,thyroid-like follicular carcinoma of kidney,1,CD14:A,0,1,,,0.0,0
6,thyroid-like follicular carcinoma of kidney,1,CD15:A,0,1,,,0.0,0
7,thyroid-like follicular carcinoma of kidney,1,CD16:A,0,1,,,0.0,0
8,thyroid-like follicular carcinoma of kidney,1,CD19:A,0,1,,,0.0,0
9,thyroid-like follicular carcinoma of kidney,1,CD19_CD4:A,0,1,,,0.0,0
10,thyroid-like follicular carcinoma of kidney,1,CD19+TCRGD:A,1,0,6.18,6.18,6.18,0
11,thyroid-like follicular carcinoma of kidney,1,CD1a:A,0,1,,,0.0,0
12,thyroid-like follicular carcinoma of kidney,1,CD2:A,0,1,,,0.0,0
13,thyroid-like follicular carcinoma of kidney,1,CD20:A,0,1,,,0.0,0
14,thyroid-like follicular carcinoma of kidney,1,CD20+CD4:A,1,0,132.57,132.57,132.57,0
15,thyroid-like follicular carcinoma of kidney,1,CD21:A,0,1,,,0.0,0
16,thyroid-like follicular carcinoma of kidney,1,CD22:A,0,1,,,0.0,0
17,thyroid-like follicular carcinoma of kidney,1,CD24:A,0,1,,,0.0,0
18,thyroid-like follicular carcinoma of kidney,1,CD271:A,0,1,,,0.0,0
19,thyroid-like follicular carcinoma of kidney,1,CD28:A,0,1,,,0.0,0
20,thyroid-like follicular carcinoma of kidney,1,CD3:A,1,0,-10.14,-10.14,-10.14,0
21,thyroid-like follicular carcinoma of kidney,1,CD30:A,0,1,,,0.0,0
22,thyroid-like follicular carcinoma of kidney,1,CD309:A,0,1,,,0.0,0
23,thyroid-like follicular carcinoma of kidney,1,CD34:A,0,1,,,0.0,0
24,thyroid-like follicular carcinoma of kidney,1,CD38:A,1,0,26.68,26.68,26.68,0
25,thyroid-like follicular carcinoma of kidney,1,CD4:A,0,1,,,0.0,0
26,thyroid-like follicular carcinoma of kidney,1,CD44:A,0,1,,,0.0,0
27,thyroid-like follicular carcinoma of kidney,1,CD45:A,1,0,434.91,434.91,434.91,0
