,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
0,undiferenciated malignt neoplasm,2,BV421:A,1,1,58332.41,58332.41,58332.41,0.0
1,undiferenciated malignt neoplasm,2,CD10:A,2,0,206.95,1065.43,636.19,368493.9552
2,undiferenciated malignt neoplasm,2,CD105:A,1,1,173.79,173.79,173.79,0.0
3,undiferenciated malignt neoplasm,2,CD117:A,1,1,70.81,70.81,70.81,0.0
4,undiferenciated malignt neoplasm,2,CD123:A,0,2,,,0.0,0.0
5,undiferenciated malignt neoplasm,2,CD14:A,1,1,116.92,116.92,116.92,0.0
6,undiferenciated malignt neoplasm,2,CD15:A,0,2,,,0.0,0.0
7,undiferenciated malignt neoplasm,2,CD16:A,0,2,,,0.0,0.0
8,undiferenciated malignt neoplasm,2,CD19:A,1,1,60.21,60.21,60.21,0.0
9,undiferenciated malignt neoplasm,2,CD19_CD4:A,1,1,783.02,783.02,783.02,0.0
10,undiferenciated malignt neoplasm,2,CD19+TCRGD:A,0,2,,,0.0,0.0
11,undiferenciated malignt neoplasm,2,CD1a:A,0,2,,,0.0,0.0
12,undiferenciated malignt neoplasm,2,CD2:A,0,2,,,0.0,0.0
13,undiferenciated malignt neoplasm,2,CD20:A,0,2,,,0.0,0.0
14,undiferenciated malignt neoplasm,2,CD20+CD4:A,0,2,,,0.0,0.0
15,undiferenciated malignt neoplasm,2,CD21:A,0,2,,,0.0,0.0
16,undiferenciated malignt neoplasm,2,CD22:A,0,2,,,0.0,0.0
17,undiferenciated malignt neoplasm,2,CD24:A,0,2,,,0.0,0.0
18,undiferenciated malignt neoplasm,2,CD271:A,1,1,3501.96,3501.96,3501.96,0.0
19,undiferenciated malignt neoplasm,2,CD28:A,0,2,,,0.0,0.0
20,undiferenciated malignt neoplasm,2,CD3:A,1,1,141.35,141.35,141.35,0.0
21,undiferenciated malignt neoplasm,2,CD30:A,0,2,,,0.0,0.0
22,undiferenciated malignt neoplasm,2,CD309:A,1,1,173.26,173.26,173.26,0.0
23,undiferenciated malignt neoplasm,2,CD34:A,1,1,1191.79,1191.79,1191.79,0.0
24,undiferenciated malignt neoplasm,2,CD38:A,2,0,99.4,641.96,370.68,147185.6768
25,undiferenciated malignt neoplasm,2,CD4:A,0,2,,,0.0,0.0
26,undiferenciated malignt neoplasm,2,CD44:A,1,1,209.52,209.52,209.52,0.0
27,undiferenciated malignt neoplasm,2,CD45:A,2,0,376.76,942.18,659.47,159849.8882
28,undiferenciated malignt neoplasm,2,CD5:A,0,2,,,0.0,0.0
29,undiferenciated malignt neoplasm,2,CD56:A,2,0,5012.95,42193.61,23603.28,691200739.018
30,undiferenciated malignt neoplasm,2,CD56+IgK:A,1,1,2445.82,2445.82,2445.82,0.0
31,undiferenciated malignt neoplasm,2,CD57:A,2,0,217.37,1882.68,1050.025,1386628.69805
32,undiferenciated malignt neoplasm,2,CD58:A,1,1,752.04,752.04,752.04,0.0
33,undiferenciated malignt neoplasm,2,CD7:A,1,1,159.28,159.28,159.28,0.0
34,undiferenciated malignt neoplasm,2,CD71:A,1,1,341.13,341.13,341.13,0.0
35,undiferenciated malignt neoplasm,2,CD8:A,0,2,,,0.0,0.0
36,undiferenciated malignt neoplasm,2,CD8+IgL:A,1,1,308.8,308.8,308.8,0.0
37,undiferenciated malignt neoplasm,2,CD81:A,2,0,4578.18,15499.95,10039.065,59642529.9665
38,undiferenciated malignt neoplasm,2,CD8-CD99:A,1,1,1078.71,1078.71,1078.71,0.0
39,undiferenciated malignt neoplasm,2,CD9:A,2,0,470.2,5847.78,3158.99,14459183.3282
40,undiferenciated malignt neoplasm,2,CD90:A,2,0,332.33,581.39,456.86,31015.4418
41,undiferenciated malignt neoplasm,2,CD99:A,2,0,273.38,504.82,389.1,26782.2368
42,undiferenciated malignt neoplasm,2,cyCD3:A,1,1,765.91,765.91,765.91,0.0
43,undiferenciated malignt neoplasm,2,cyCD3+CD19:A,1,1,1464.66,1464.66,1464.66,0.0
44,undiferenciated malignt neoplasm,2,cyCD79a:A,1,1,193.12,193.12,193.12,0.0
45,undiferenciated malignt neoplasm,2,EPCAM:A,2,0,244.4,446.83,345.615,20488.95245
46,undiferenciated malignt neoplasm,2,Epcam+CD4:A,1,1,643.8,643.8,643.8,0.0
47,undiferenciated malignt neoplasm,2,FSC-A:A,2,0,152661.61,174649.94,163655.775,241743328.094
48,undiferenciated malignt neoplasm,2,FSC-H:A,2,0,113029.0,114260.0,113644.5,757680.5
49,undiferenciated malignt neoplasm,2,GD2:A,1,1,2146.94,2146.94,2146.94,0.0
50,undiferenciated malignt neoplasm,2,HLADR:A,0,2,,,0.0,0.0
51,undiferenciated malignt neoplasm,2,MPO:A,1,1,393.7,393.7,393.7,0.0
52,undiferenciated malignt neoplasm,2,nuMIOGENIN:A,1,1,1231.71,1231.71,1231.71,0.0
53,undiferenciated malignt neoplasm,2,nuMYOD:A,1,1,415.49,415.49,415.49,0.0
54,undiferenciated malignt neoplasm,2,OCT3/4:A,0,2,,,0.0,0.0
55,undiferenciated malignt neoplasm,2,SSC-A:A,2,0,22368.96,33608.1,27988.53,63159133.9698
56,undiferenciated malignt neoplasm,2,SSC-H:A,1,1,13789.0,13789.0,13789.0,0.0
57,undiferenciated malignt neoplasm,2,BV421:B,1,1,792.49,792.49,792.49,0.0
58,undiferenciated malignt neoplasm,2,CD10:B,0,2,,,0.0,0.0
59,undiferenciated malignt neoplasm,2,CD105:B,0,2,,,0.0,0.0
60,undiferenciated malignt neoplasm,2,CD117:B,0,2,,,0.0,0.0
61,undiferenciated malignt neoplasm,2,CD123:B,0,2,,,0.0,0.0
62,undiferenciated malignt neoplasm,2,CD14:B,0,2,,,0.0,0.0
63,undiferenciated malignt neoplasm,2,CD15:B,0,2,,,0.0,0.0
64,undiferenciated malignt neoplasm,2,CD16:B,0,2,,,0.0,0.0
65,undiferenciated malignt neoplasm,2,CD19:B,1,1,5703.21,5703.21,5703.21,0.0
66,undiferenciated malignt neoplasm,2,CD19_CD4:B,1,1,4540.31,4540.31,4540.31,0.0
67,undiferenciated malignt neoplasm,2,CD19+TCRGD:B,0,2,,,0.0,0.0
68,undiferenciated malignt neoplasm,2,CD1a:B,0,2,,,0.0,0.0
69,undiferenciated malignt neoplasm,2,CD2:B,0,2,,,0.0,0.0
70,undiferenciated malignt neoplasm,2,CD20:B,0,2,,,0.0,0.0
71,undiferenciated malignt neoplasm,2,CD20+CD4:B,0,2,,,0.0,0.0
72,undiferenciated malignt neoplasm,2,CD21:B,0,2,,,0.0,0.0
73,undiferenciated malignt neoplasm,2,CD22:B,0,2,,,0.0,0.0
74,undiferenciated malignt neoplasm,2,CD24:B,0,2,,,0.0,0.0
75,undiferenciated malignt neoplasm,2,CD271:B,0,2,,,0.0,0.0
76,undiferenciated malignt neoplasm,2,CD28:B,0,2,,,0.0,0.0
77,undiferenciated malignt neoplasm,2,CD3:B,1,1,2120.97,2120.97,2120.97,0.0
78,undiferenciated malignt neoplasm,2,CD30:B,0,2,,,0.0,0.0
79,undiferenciated malignt neoplasm,2,CD309:B,0,2,,,0.0,0.0
80,undiferenciated malignt neoplasm,2,CD34:B,1,1,674.6,674.6,674.6,0.0
81,undiferenciated malignt neoplasm,2,CD38:B,0,2,,,0.0,0.0
82,undiferenciated malignt neoplasm,2,CD4:B,0,2,,,0.0,0.0
83,undiferenciated malignt neoplasm,2,CD44:B,0,2,,,0.0,0.0
84,undiferenciated malignt neoplasm,2,CD45:B,2,0,1330.62,6230.91,3780.765,12006421.0421
85,undiferenciated malignt neoplasm,2,CD5:B,0,2,,,0.0,0.0
86,undiferenciated malignt neoplasm,2,CD56:B,2,0,30.11,676.3,353.205,208780.75805
87,undiferenciated malignt neoplasm,2,CD56+IgK:B,1,1,65.96,65.96,65.96,0.0
88,undiferenciated malignt neoplasm,2,CD57:B,0,2,,,0.0,0.0
89,undiferenciated malignt neoplasm,2,CD58:B,0,2,,,0.0,0.0
90,undiferenciated malignt neoplasm,2,CD7:B,1,1,-7.5,-7.5,-7.5,0.0
91,undiferenciated malignt neoplasm,2,CD71:B,0,2,,,0.0,0.0
92,undiferenciated malignt neoplasm,2,CD8:B,0,2,,,0.0,0.0
93,undiferenciated malignt neoplasm,2,CD8+IgL:B,1,1,90.71,90.71,90.71,0.0
94,undiferenciated malignt neoplasm,2,CD81:B,0,2,,,0.0,0.0
95,undiferenciated malignt neoplasm,2,CD8-CD99:B,1,1,1202.3,1202.3,1202.3,0.0
96,undiferenciated malignt neoplasm,2,CD9:B,0,2,,,0.0,0.0
97,undiferenciated malignt neoplasm,2,CD90:B,0,2,,,0.0,0.0
98,undiferenciated malignt neoplasm,2,CD99:B,0,2,,,0.0,0.0
99,undiferenciated malignt neoplasm,2,cyCD3:B,1,1,360.44,360.44,360.44,0.0
100,undiferenciated malignt neoplasm,2,cyCD3+CD19:B,1,1,2566.91,2566.91,2566.91,0.0
101,undiferenciated malignt neoplasm,2,cyCD79a:B,1,1,1467.07,1467.07,1467.07,0.0
102,undiferenciated malignt neoplasm,2,EPCAM:B,0,2,,,0.0,0.0
103,undiferenciated malignt neoplasm,2,Epcam+CD4:B,1,1,252.49,252.49,252.49,0.0
104,undiferenciated malignt neoplasm,2,FSC-A:B,2,0,68703.3,110504.94,89604.12,873688553.345
105,undiferenciated malignt neoplasm,2,FSC-H:B,2,0,49337.0,92024.5,70680.75,911111328.125
106,undiferenciated malignt neoplasm,2,GD2:B,1,1,141.91,141.91,141.91,0.0
107,undiferenciated malignt neoplasm,2,HLADR:B,0,2,,,0.0,0.0
108,undiferenciated malignt neoplasm,2,MPO:B,1,1,118.7,118.7,118.7,0.0
109,undiferenciated malignt neoplasm,2,nuMIOGENIN:B,1,1,515.55,515.55,515.55,0.0
110,undiferenciated malignt neoplasm,2,nuMYOD:B,0,2,,,0.0,0.0
111,undiferenciated malignt neoplasm,2,OCT3/4:B,0,2,,,0.0,0.0
112,undiferenciated malignt neoplasm,2,SSC-A:B,2,0,7368.9,9952.56,8660.73,3337649.4978
113,undiferenciated malignt neoplasm,2,SSC-H:B,1,1,7343.0,7343.0,7343.0,0.0
114,undiferenciated malignt neoplasm,2,BV421:END,0,2,,,0.0,0.0
115,undiferenciated malignt neoplasm,2,CD10:END,0,2,,,0.0,0.0
116,undiferenciated malignt neoplasm,2,CD105:END,0,2,,,0.0,0.0
117,undiferenciated malignt neoplasm,2,CD117:END,0,2,,,0.0,0.0
118,undiferenciated malignt neoplasm,2,CD123:END,0,2,,,0.0,0.0
119,undiferenciated malignt neoplasm,2,CD14:END,0,2,,,0.0,0.0
120,undiferenciated malignt neoplasm,2,CD15:END,0,2,,,0.0,0.0
121,undiferenciated malignt neoplasm,2,CD16:END,0,2,,,0.0,0.0
122,undiferenciated malignt neoplasm,2,CD19:END,0,2,,,0.0,0.0
123,undiferenciated malignt neoplasm,2,CD19_CD4:END,0,2,,,0.0,0.0
124,undiferenciated malignt neoplasm,2,CD19+TCRGD:END,0,2,,,0.0,0.0
125,undiferenciated malignt neoplasm,2,CD1a:END,0,2,,,0.0,0.0
126,undiferenciated malignt neoplasm,2,CD2:END,0,2,,,0.0,0.0
127,undiferenciated malignt neoplasm,2,CD20:END,0,2,,,0.0,0.0
128,undiferenciated malignt neoplasm,2,CD20+CD4:END,0,2,,,0.0,0.0
129,undiferenciated malignt neoplasm,2,CD21:END,0,2,,,0.0,0.0
130,undiferenciated malignt neoplasm,2,CD22:END,0,2,,,0.0,0.0
131,undiferenciated malignt neoplasm,2,CD24:END,0,2,,,0.0,0.0
132,undiferenciated malignt neoplasm,2,CD271:END,0,2,,,0.0,0.0
133,undiferenciated malignt neoplasm,2,CD28:END,0,2,,,0.0,0.0
134,undiferenciated malignt neoplasm,2,CD3:END,0,2,,,0.0,0.0
135,undiferenciated malignt neoplasm,2,CD30:END,0,2,,,0.0,0.0
136,undiferenciated malignt neoplasm,2,CD309:END,0,2,,,0.0,0.0
137,undiferenciated malignt neoplasm,2,CD34:END,0,2,,,0.0,0.0
138,undiferenciated malignt neoplasm,2,CD38:END,0,2,,,0.0,0.0
139,undiferenciated malignt neoplasm,2,CD4:END,0,2,,,0.0,0.0
140,undiferenciated malignt neoplasm,2,CD44:END,0,2,,,0.0,0.0
141,undiferenciated malignt neoplasm,2,CD45:END,0,2,,,0.0,0.0
142,undiferenciated malignt neoplasm,2,CD5:END,0,2,,,0.0,0.0
143,undiferenciated malignt neoplasm,2,CD56:END,0,2,,,0.0,0.0
144,undiferenciated malignt neoplasm,2,CD56+IgK:END,0,2,,,0.0,0.0
145,undiferenciated malignt neoplasm,2,CD57:END,0,2,,,0.0,0.0
146,undiferenciated malignt neoplasm,2,CD58:END,0,2,,,0.0,0.0
147,undiferenciated malignt neoplasm,2,CD7:END,0,2,,,0.0,0.0
148,undiferenciated malignt neoplasm,2,CD71:END,0,2,,,0.0,0.0
149,undiferenciated malignt neoplasm,2,CD8:END,0,2,,,0.0,0.0
150,undiferenciated malignt neoplasm,2,CD8+IgL:END,0,2,,,0.0,0.0
151,undiferenciated malignt neoplasm,2,CD81:END,0,2,,,0.0,0.0
152,undiferenciated malignt neoplasm,2,CD8-CD99:END,0,2,,,0.0,0.0
153,undiferenciated malignt neoplasm,2,CD9:END,0,2,,,0.0,0.0
154,undiferenciated malignt neoplasm,2,CD90:END,0,2,,,0.0,0.0
155,undiferenciated malignt neoplasm,2,CD99:END,0,2,,,0.0,0.0
156,undiferenciated malignt neoplasm,2,cyCD3:END,0,2,,,0.0,0.0
157,undiferenciated malignt neoplasm,2,cyCD3+CD19:END,0,2,,,0.0,0.0
158,undiferenciated malignt neoplasm,2,cyCD79a:END,0,2,,,0.0,0.0
159,undiferenciated malignt neoplasm,2,EPCAM:END,0,2,,,0.0,0.0
160,undiferenciated malignt neoplasm,2,Epcam+CD4:END,0,2,,,0.0,0.0
161,undiferenciated malignt neoplasm,2,FSC-A:END,0,2,,,0.0,0.0
162,undiferenciated malignt neoplasm,2,FSC-H:ENDE,0,2,,,0.0,0.0
163,undiferenciated malignt neoplasm,2,GD2:END,0,2,,,0.0,0.0
164,undiferenciated malignt neoplasm,2,HLADR:END,0,2,,,0.0,0.0
165,undiferenciated malignt neoplasm,2,MPO:END,0,2,,,0.0,0.0
166,undiferenciated malignt neoplasm,2,nuMIOGENIN:END,0,2,,,0.0,0.0
167,undiferenciated malignt neoplasm,2,nuMYOD:END,0,2,,,0.0,0.0
168,undiferenciated malignt neoplasm,2,OCT3/4:END,0,2,,,0.0,0.0
169,undiferenciated malignt neoplasm,2,SSC-A:END,0,2,,,0.0,0.0
170,undiferenciated malignt neoplasm,2,SSC-H:END,0,2,,,0.0,0.0
171,undiferenciated malignt neoplasm,2,BV421:E,0,2,,,0.0,0.0
172,undiferenciated malignt neoplasm,2,CD10:E,0,2,,,0.0,0.0
173,undiferenciated malignt neoplasm,2,CD105:E,0,2,,,0.0,0.0
174,undiferenciated malignt neoplasm,2,CD117:E,0,2,,,0.0,0.0
175,undiferenciated malignt neoplasm,2,CD123:E,0,2,,,0.0,0.0
176,undiferenciated malignt neoplasm,2,CD14:E,0,2,,,0.0,0.0
177,undiferenciated malignt neoplasm,2,CD15:E,0,2,,,0.0,0.0
178,undiferenciated malignt neoplasm,2,CD16:E,0,2,,,0.0,0.0
179,undiferenciated malignt neoplasm,2,CD19:E,0,2,,,0.0,0.0
180,undiferenciated malignt neoplasm,2,CD19_CD4:E,0,2,,,0.0,0.0
181,undiferenciated malignt neoplasm,2,CD19+TCRGD:E,0,2,,,0.0,0.0
182,undiferenciated malignt neoplasm,2,CD1a:E,0,2,,,0.0,0.0
183,undiferenciated malignt neoplasm,2,CD2:E,0,2,,,0.0,0.0
184,undiferenciated malignt neoplasm,2,CD20:E,0,2,,,0.0,0.0
185,undiferenciated malignt neoplasm,2,CD20+CD4:E,0,2,,,0.0,0.0
186,undiferenciated malignt neoplasm,2,CD21:E,0,2,,,0.0,0.0
187,undiferenciated malignt neoplasm,2,CD22:E,0,2,,,0.0,0.0
