,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
0,vascular tumor,2,BV421:A,0,2,,,0.0,0.0
1,vascular tumor,2,CD10:A,2,0,432.54,3120.43,1776.485,3612376.32605
2,vascular tumor,2,CD105:A,0,2,,,0.0,0.0
3,vascular tumor,2,CD117:A,1,1,385.45,385.45,385.45,0.0
4,vascular tumor,2,CD123:A,0,2,,,0.0,0.0
5,vascular tumor,2,CD14:A,0,2,,,0.0,0.0
6,vascular tumor,2,CD15:A,0,2,,,0.0,0.0
7,vascular tumor,2,CD16:A,0,2,,,0.0,0.0
8,vascular tumor,2,CD19:A,1,1,18471.48,18471.48,18471.48,0.0
9,vascular tumor,2,CD19_CD4:A,1,1,576.87,576.87,576.87,0.0
10,vascular tumor,2,CD19+TCRGD:A,0,2,,,0.0,0.0
11,vascular tumor,2,CD1a:A,0,2,,,0.0,0.0
12,vascular tumor,2,CD2:A,0,2,,,0.0,0.0
13,vascular tumor,2,CD20:A,2,0,377.57,13779.46,7078.515,89805327.786
14,vascular tumor,2,CD20+CD4:A,0,2,,,0.0,0.0
15,vascular tumor,2,CD21:A,0,2,,,0.0,0.0
16,vascular tumor,2,CD22:A,0,2,,,0.0,0.0
17,vascular tumor,2,CD24:A,0,2,,,0.0,0.0
18,vascular tumor,2,CD271:A,1,1,688.08,688.08,688.08,0.0
19,vascular tumor,2,CD28:A,0,2,,,0.0,0.0
20,vascular tumor,2,CD3:A,2,0,1499.94,7398.12,4449.03,17394263.6562
21,vascular tumor,2,CD30:A,0,2,,,0.0,0.0
22,vascular tumor,2,CD309:A,0,2,,,0.0,0.0
23,vascular tumor,2,CD34:A,2,0,2786.94,4930.77,3858.855,2298003.53445
24,vascular tumor,2,CD38:A,2,0,162.37,2980.4,1571.385,3970646.54045
25,vascular tumor,2,CD4:A,1,1,2473.99,2473.99,2473.99,0.0
26,vascular tumor,2,CD44:A,1,1,321.02,321.02,321.02,0.0
27,vascular tumor,2,CD45:A,2,0,102.89,1267.44,685.165,678088.35125
28,vascular tumor,2,CD5:A,0,2,,,0.0,0.0
29,vascular tumor,2,CD56:A,2,0,117.89,480.18,299.035,65627.02205
30,vascular tumor,2,CD56+IgK:A,1,1,3751.6,3751.6,3751.6,0.0
31,vascular tumor,2,CD57:A,1,1,227.44,227.44,227.44,0.0
32,vascular tumor,2,CD58:A,0,2,,,0.0,0.0
33,vascular tumor,2,CD7:A,0,2,,,0.0,0.0
34,vascular tumor,2,CD71:A,0,2,,,0.0,0.0
35,vascular tumor,2,CD8:A,1,1,19614.56,19614.56,19614.56,0.0
36,vascular tumor,2,CD8+IgL:A,1,1,6137.66,6137.66,6137.66,0.0
37,vascular tumor,2,CD81:A,2,0,369.52,1647.53,1008.525,816654.78005
38,vascular tumor,2,CD8-CD99:A,0,2,,,0.0,0.0
39,vascular tumor,2,CD9:A,2,0,1374.34,3972.08,2673.21,3374126.5538
40,vascular tumor,2,CD90:A,2,0,315.44,32357.39,16336.415,513343279.901
41,vascular tumor,2,CD99:A,2,0,180.11,345.2,262.655,13627.35405
42,vascular tumor,2,cyCD3:A,0,2,,,0.0,0.0
43,vascular tumor,2,cyCD3+CD19:A,0,2,,,0.0,0.0
44,vascular tumor,2,cyCD79a:A,0,2,,,0.0,0.0
45,vascular tumor,2,EPCAM:A,2,0,359.55,488.1,423.825,8262.55125
46,vascular tumor,2,Epcam+CD4:A,0,2,,,0.0,0.0
47,vascular tumor,2,FSC-A:A,2,0,73819.8,88162.62,80991.21,102858242.776
48,vascular tumor,2,FSC-H:A,1,1,58366.0,58366.0,58366.0,0.0
49,vascular tumor,2,GD2:A,2,0,1371.04,14116.03,7743.535,81217385.0501
50,vascular tumor,2,HLADR:A,0,2,,,0.0,0.0
51,vascular tumor,2,MPO:A,0,2,,,0.0,0.0
52,vascular tumor,2,nuMIOGENIN:A,2,0,195.34,644.98,420.16,101088.0648
53,vascular tumor,2,nuMYOD:A,1,1,440.53,440.53,440.53,0.0
54,vascular tumor,2,OCT3/4:A,0,2,,,0.0,0.0
55,vascular tumor,2,SSC-A:A,2,0,31445.7,46647.95,39046.825,115554202.531
56,vascular tumor,2,SSC-H:A,0,2,,,0.0,0.0
57,vascular tumor,2,BV421:B,0,2,,,0.0,0.0
58,vascular tumor,2,CD10:B,0,2,,,0.0,0.0
59,vascular tumor,2,CD105:B,0,2,,,0.0,0.0
60,vascular tumor,2,CD117:B,0,2,,,0.0,0.0
61,vascular tumor,2,CD123:B,0,2,,,0.0,0.0
62,vascular tumor,2,CD14:B,0,2,,,0.0,0.0
63,vascular tumor,2,CD15:B,0,2,,,0.0,0.0
64,vascular tumor,2,CD16:B,0,2,,,0.0,0.0
65,vascular tumor,2,CD19:B,0,2,,,0.0,0.0
66,vascular tumor,2,CD19_CD4:B,1,1,1470.5,1470.5,1470.5,0.0
67,vascular tumor,2,CD19+TCRGD:B,0,2,,,0.0,0.0
68,vascular tumor,2,CD1a:B,0,2,,,0.0,0.0
69,vascular tumor,2,CD2:B,0,2,,,0.0,0.0
70,vascular tumor,2,CD20:B,1,1,29298.22,29298.22,29298.22,0.0
71,vascular tumor,2,CD20+CD4:B,0,2,,,0.0,0.0
72,vascular tumor,2,CD21:B,0,2,,,0.0,0.0
73,vascular tumor,2,CD22:B,0,2,,,0.0,0.0
74,vascular tumor,2,CD24:B,0,2,,,0.0,0.0
75,vascular tumor,2,CD271:B,0,2,,,0.0,0.0
76,vascular tumor,2,CD28:B,0,2,,,0.0,0.0
77,vascular tumor,2,CD3:B,1,1,852.16,852.16,852.16,0.0
78,vascular tumor,2,CD30:B,0,2,,,0.0,0.0
79,vascular tumor,2,CD309:B,0,2,,,0.0,0.0
80,vascular tumor,2,CD34:B,1,1,1969.32,1969.32,1969.32,0.0
81,vascular tumor,2,CD38:B,0,2,,,0.0,0.0
82,vascular tumor,2,CD4:B,0,2,,,0.0,0.0
83,vascular tumor,2,CD44:B,0,2,,,0.0,0.0
84,vascular tumor,2,CD45:B,0,2,,,0.0,0.0
85,vascular tumor,2,CD5:B,0,2,,,0.0,0.0
86,vascular tumor,2,CD56:B,1,1,158.55,158.55,158.55,0.0
87,vascular tumor,2,CD56+IgK:B,1,1,549.27,549.27,549.27,0.0
88,vascular tumor,2,CD57:B,1,1,1392.13,1392.13,1392.13,0.0
89,vascular tumor,2,CD58:B,0,2,,,0.0,0.0
90,vascular tumor,2,CD7:B,0,2,,,0.0,0.0
