,grupo,linhas,marcador,dados,nulos,min,max,media,variancia
0,wilms tumor,10,BV421:A,1,9,3368.45,3368.45,3368.45,0.0
1,wilms tumor,10,CD10:A,9,1,69.95,962.87,254.547777778,78415.3159194
2,wilms tumor,10,CD105:A,1,9,414.91,414.91,414.91,0.0
3,wilms tumor,10,CD117:A,5,5,126.25,312.09,195.386,5121.02083
4,wilms tumor,10,CD123:A,0,10,,,0.0,0.0
5,wilms tumor,10,CD14:A,1,9,-4.31,-4.31,-4.31,0.0
6,wilms tumor,10,CD15:A,0,10,,,0.0,0.0
7,wilms tumor,10,CD16:A,0,10,,,0.0,0.0
8,wilms tumor,10,CD19:A,0,10,,,0.0,0.0
9,wilms tumor,10,CD19_CD4:A,4,6,-126.35,527.97,228.5875,76667.7790917
10,wilms tumor,10,CD19+TCRGD:A,2,8,489.65,661.04,575.345,14687.26605
11,wilms tumor,10,CD1a:A,0,10,,,0.0,0.0
12,wilms tumor,10,CD2:A,0,10,,,0.0,0.0
13,wilms tumor,10,CD20:A,3,7,-282.82,115.9,-43.8166666667,44459.1912333
14,wilms tumor,10,CD20+CD4:A,1,9,332.76,332.76,332.76,0.0
15,wilms tumor,10,CD21:A,0,10,,,0.0,0.0
16,wilms tumor,10,CD22:A,0,10,,,0.0,0.0
17,wilms tumor,10,CD24:A,0,10,,,0.0,0.0
18,wilms tumor,10,CD271:A,7,3,248.08,3932.89,1285.56571429,1796844.4924
19,wilms tumor,10,CD28:A,0,10,,,0.0,0.0
20,wilms tumor,10,CD3:A,6,4,-94.2,296.64,132.425,16143.16275
21,wilms tumor,10,CD30:A,1,9,346.23,346.23,346.23,0.0
22,wilms tumor,10,CD309:A,4,6,52.88,255.39,157.23,10439.0394
23,wilms tumor,10,CD34:A,3,7,347.74,725.91,505.103333333,38771.9296333
24,wilms tumor,10,CD38:A,7,3,-593.48,394.7,-92.0985714286,95269.2608143
25,wilms tumor,10,CD4:A,0,10,,,0.0,0.0
26,wilms tumor,10,CD44:A,4,6,68.54,337.67,170.855,13728.5865667
27,wilms tumor,10,CD45:A,10,0,6.42,761.61,333.651,51738.8008989
28,wilms tumor,10,CD5:A,2,8,215.57,1205.5,710.535,489980.70245
29,wilms tumor,10,CD56:A,10,0,309.12,37233.04,14057.869,147030143.687
30,wilms tumor,10,CD56+IgK:A,6,4,243.78,18900.61,6975.46,68949978.5725
31,wilms tumor,10,CD57:A,9,1,86.59,485.39,265.347777778,24182.7391694
32,wilms tumor,10,CD58:A,5,5,717.9,2244.27,1183.834,367075.31623
33,wilms tumor,10,CD7:A,0,10,,,0.0,0.0
34,wilms tumor,10,CD71:A,1,9,431.53,431.53,431.53,0.0
35,wilms tumor,10,CD8:A,0,10,,,0.0,0.0
36,wilms tumor,10,CD8+IgL:A,6,4,56.41,3244.98,826.578333333,1523515.21898
37,wilms tumor,10,CD81:A,8,2,390.33,20155.89,8246.25,44598758.3567
38,wilms tumor,10,CD8-CD99:A,0,10,,,0.0,0.0
39,wilms tumor,10,CD9:A,8,2,651.52,17192.8,3994.965,30823990.544
40,wilms tumor,10,CD90:A,10,0,122.0,11199.72,2384.052,16129323.6546
41,wilms tumor,10,CD99:A,9,1,49.38,690.26,314.472222222,66780.2996194
42,wilms tumor,10,cyCD3:A,0,10,,,0.0,0.0
43,wilms tumor,10,cyCD3+CD19:A,1,9,2206.06,2206.06,2206.06,0.0
44,wilms tumor,10,cyCD79a:A,0,10,,,0.0,0.0
45,wilms tumor,10,EPCAM:A,9,1,191.95,6792.76,1725.23444444,4934128.0988
46,wilms tumor,10,Epcam+CD4:A,1,9,127.82,127.82,127.82,0.0
47,wilms tumor,10,FSC-A:A,10,0,54314.92,117282.62,81512.171,490702737.597
48,wilms tumor,10,FSC-H:A,10,0,35187.0,83000.0,58738.65,308491573.225
49,wilms tumor,10,GD2:A,9,1,70.74,1234.8,689.103333333,153737.287575
50,wilms tumor,10,HLADR:A,3,7,435.71,1457.46,859.81,283582.9675
51,wilms tumor,10,MPO:A,0,10,,,0.0,0.0
52,wilms tumor,10,nuMIOGENIN:A,8,2,11.95,899.21,286.9825,89526.2747071
53,wilms tumor,10,nuMYOD:A,8,2,122.54,449.72,263.40375,14694.2473411
54,wilms tumor,10,OCT3/4:A,0,10,,,0.0,0.0
55,wilms tumor,10,SSC-A:A,10,0,10906.56,32453.28,18383.133,38127185.3703
56,wilms tumor,10,SSC-H:A,4,6,8830.5,10659.0,9934.375,667602.895833
57,wilms tumor,10,BV421:B,1,9,220.72,220.72,220.72,0.0
58,wilms tumor,10,CD10:B,0,10,,,0.0,0.0
59,wilms tumor,10,CD105:B,0,10,,,0.0,0.0
60,wilms tumor,10,CD117:B,0,10,,,0.0,0.0
61,wilms tumor,10,CD123:B,0,10,,,0.0,0.0
62,wilms tumor,10,CD14:B,0,10,,,0.0,0.0
63,wilms tumor,10,CD15:B,0,10,,,0.0,0.0
64,wilms tumor,10,CD16:B,0,10,,,0.0,0.0
65,wilms tumor,10,CD19:B,0,10,,,0.0,0.0
66,wilms tumor,10,CD19_CD4:B,2,8,2240.46,5338.57,3789.515,4799142.78605
67,wilms tumor,10,CD19+TCRGD:B,2,8,133.6,7424.78,3779.19,26580652.8962
68,wilms tumor,10,CD1a:B,0,10,,,0.0,0.0
69,wilms tumor,10,CD2:B,0,10,,,0.0,0.0
70,wilms tumor,10,CD20:B,0,10,,,0.0,0.0
71,wilms tumor,10,CD20+CD4:B,1,9,13617.76,13617.76,13617.76,0.0
72,wilms tumor,10,CD21:B,0,10,,,0.0,0.0
73,wilms tumor,10,CD22:B,0,10,,,0.0,0.0
74,wilms tumor,10,CD24:B,0,10,,,0.0,0.0
75,wilms tumor,10,CD271:B,0,10,,,0.0,0.0
76,wilms tumor,10,CD28:B,0,10,,,0.0,0.0
77,wilms tumor,10,CD3:B,4,6,58.64,10594.71,2740.3375,27422806.1994
78,wilms tumor,10,CD30:B,0,10,,,0.0,0.0
79,wilms tumor,10,CD309:B,0,10,,,0.0,0.0
80,wilms tumor,10,CD34:B,0,10,,,0.0,0.0
81,wilms tumor,10,CD38:B,2,8,420.73,1165.71,793.22,277497.6002
82,wilms tumor,10,CD4:B,0,10,,,0.0,0.0
83,wilms tumor,10,CD44:B,0,10,,,0.0,0.0
84,wilms tumor,10,CD45:B,5,5,1047.23,4968.94,3288.38,2313262.46905
85,wilms tumor,10,CD5:B,2,8,637.96,2964.19,1801.075,2705673.00645
86,wilms tumor,10,CD56:B,3,7,15.73,130.2,57.1633333333,4024.92323333
87,wilms tumor,10,CD56+IgK:B,4,6,61.6,5872.94,1722.7825,7803775.15949
88,wilms tumor,10,CD57:B,0,10,,,0.0,0.0
89,wilms tumor,10,CD58:B,0,10,,,0.0,0.0
90,wilms tumor,10,CD7:B,0,10,,,0.0,0.0
91,wilms tumor,10,CD71:B,0,10,,,0.0,0.0
92,wilms tumor,10,CD8:B,0,10,,,0.0,0.0
93,wilms tumor,10,CD8+IgL:B,4,6,75.75,621.54,294.5625,57249.830025
94,wilms tumor,10,CD81:B,0,10,,,0.0,0.0
95,wilms tumor,10,CD8-CD99:B,0,10,,,0.0,0.0
96,wilms tumor,10,CD9:B,0,10,,,0.0,0.0
97,wilms tumor,10,CD90:B,0,10,,,0.0,0.0
98,wilms tumor,10,CD99:B,1,9,104.64,104.64,104.64,0.0
99,wilms tumor,10,cyCD3:B,0,10,,,0.0,0.0
100,wilms tumor,10,cyCD3+CD19:B,1,9,2515.28,2515.28,2515.28,0.0
101,wilms tumor,10,cyCD79a:B,0,10,,,0.0,0.0
102,wilms tumor,10,EPCAM:B,0,10,,,0.0,0.0
103,wilms tumor,10,Epcam+CD4:B,1,9,96.24,96.24,96.24,0.0
104,wilms tumor,10,FSC-A:B,5,5,55728.45,85467.2,66461.586,147764402.113
105,wilms tumor,10,FSC-H:B,5,5,45200.0,71223.0,55504.3,104692379.2
106,wilms tumor,10,GD2:B,1,9,57.0,57.0,57.0,0.0
107,wilms tumor,10,HLADR:B,0,10,,,0.0,0.0
108,wilms tumor,10,MPO:B,0,10,,,0.0,0.0
109,wilms tumor,10,nuMIOGENIN:B,1,9,87.05,87.05,87.05,0.0
110,wilms tumor,10,nuMYOD:B,0,10,,,0.0,0.0
111,wilms tumor,10,OCT3/4:B,0,10,,,0.0,0.0
112,wilms tumor,10,SSC-A:B,5,5,6490.08,14240.88,9410.008,9291531.52172
113,wilms tumor,10,SSC-H:B,0,10,,,0.0,0.0
114,wilms tumor,10,BV421:END,0,10,,,0.0,0.0
115,wilms tumor,10,CD10:END,0,10,,,0.0,0.0
116,wilms tumor,10,CD105:END,0,10,,,0.0,0.0
117,wilms tumor,10,CD117:END,0,10,,,0.0,0.0
118,wilms tumor,10,CD123:END,0,10,,,0.0,0.0
119,wilms tumor,10,CD14:END,0,10,,,0.0,0.0
120,wilms tumor,10,CD15:END,0,10,,,0.0,0.0
121,wilms tumor,10,CD16:END,0,10,,,0.0,0.0
122,wilms tumor,10,CD19:END,0,10,,,0.0,0.0
123,wilms tumor,10,CD19_CD4:END,0,10,,,0.0,0.0
124,wilms tumor,10,CD19+TCRGD:END,0,10,,,0.0,0.0
125,wilms tumor,10,CD1a:END,0,10,,,0.0,0.0
126,wilms tumor,10,CD2:END,0,10,,,0.0,0.0
127,wilms tumor,10,CD20:END,0,10,,,0.0,0.0
128,wilms tumor,10,CD20+CD4:END,0,10,,,0.0,0.0
129,wilms tumor,10,CD21:END,0,10,,,0.0,0.0
130,wilms tumor,10,CD22:END,0,10,,,0.0,0.0
131,wilms tumor,10,CD24:END,0,10,,,0.0,0.0
132,wilms tumor,10,CD271:END,0,10,,,0.0,0.0
133,wilms tumor,10,CD28:END,0,10,,,0.0,0.0
134,wilms tumor,10,CD3:END,0,10,,,0.0,0.0
135,wilms tumor,10,CD30:END,0,10,,,0.0,0.0
136,wilms tumor,10,CD309:END,0,10,,,0.0,0.0
137,wilms tumor,10,CD34:END,0,10,,,0.0,0.0
138,wilms tumor,10,CD38:END,0,10,,,0.0,0.0
139,wilms tumor,10,CD4:END,0,10,,,0.0,0.0
140,wilms tumor,10,CD44:END,0,10,,,0.0,0.0
141,wilms tumor,10,CD45:END,0,10,,,0.0,0.0
142,wilms tumor,10,CD5:END,0,10,,,0.0,0.0
143,wilms tumor,10,CD56:END,0,10,,,0.0,0.0
144,wilms tumor,10,CD56+IgK:END,0,10,,,0.0,0.0
145,wilms tumor,10,CD57:END,0,10,,,0.0,0.0
146,wilms tumor,10,CD58:END,0,10,,,0.0,0.0
147,wilms tumor,10,CD7:END,0,10,,,0.0,0.0
148,wilms tumor,10,CD71:END,0,10,,,0.0,0.0
149,wilms tumor,10,CD8:END,0,10,,,0.0,0.0
150,wilms tumor,10,CD8+IgL:END,0,10,,,0.0,0.0
151,wilms tumor,10,CD81:END,0,10,,,0.0,0.0
152,wilms tumor,10,CD8-CD99:END,0,10,,,0.0,0.0
153,wilms tumor,10,CD9:END,0,10,,,0.0,0.0
154,wilms tumor,10,CD90:END,0,10,,,0.0,0.0
155,wilms tumor,10,CD99:END,0,10,,,0.0,0.0
156,wilms tumor,10,cyCD3:END,0,10,,,0.0,0.0
157,wilms tumor,10,cyCD3+CD19:END,0,10,,,0.0,0.0
158,wilms tumor,10,cyCD79a:END,0,10,,,0.0,0.0
159,wilms tumor,10,EPCAM:END,0,10,,,0.0,0.0
160,wilms tumor,10,Epcam+CD4:END,0,10,,,0.0,0.0
161,wilms tumor,10,FSC-A:END,0,10,,,0.0,0.0
162,wilms tumor,10,FSC-H:ENDE,0,10,,,0.0,0.0
163,wilms tumor,10,GD2:END,0,10,,,0.0,0.0
164,wilms tumor,10,HLADR:END,0,10,,,0.0,0.0
165,wilms tumor,10,MPO:END,0,10,,,0.0,0.0
166,wilms tumor,10,nuMIOGENIN:END,0,10,,,0.0,0.0
167,wilms tumor,10,nuMYOD:END,0,10,,,0.0,0.0
168,wilms tumor,10,OCT3/4:END,0,10,,,0.0,0.0
169,wilms tumor,10,SSC-A:END,0,10,,,0.0,0.0
170,wilms tumor,10,SSC-H:END,0,10,,,0.0,0.0
171,wilms tumor,10,BV421:E,1,9,2417.33,2417.33,2417.33,0.0
172,wilms tumor,10,CD10:E,1,9,930.54,930.54,930.54,0.0
173,wilms tumor,10,CD105:E,1,9,944.03,944.03,944.03,0.0
174,wilms tumor,10,CD117:E,0,10,,,0.0,0.0
175,wilms tumor,10,CD123:E,0,10,,,0.0,0.0
176,wilms tumor,10,CD14:E,0,10,,,0.0,0.0
177,wilms tumor,10,CD15:E,0,10,,,0.0,0.0
178,wilms tumor,10,CD16:E,0,10,,,0.0,0.0
179,wilms tumor,10,CD19:E,0,10,,,0.0,0.0
180,wilms tumor,10,CD19_CD4:E,1,9,1485.93,1485.93,1485.93,0.0
181,wilms tumor,10,CD19+TCRGD:E,1,9,352.28,352.28,352.28,0.0
182,wilms tumor,10,CD1a:E,0,10,,,0.0,0.0
183,wilms tumor,10,CD2:E,0,10,,,0.0,0.0
184,wilms tumor,10,CD20:E,0,10,,,0.0,0.0
185,wilms tumor,10,CD20+CD4:E,1,9,1928.67,1928.67,1928.67,0.0
186,wilms tumor,10,CD21:E,0,10,,,0.0,0.0
187,wilms tumor,10,CD22:E,0,10,,,0.0,0.0
188,wilms tumor,10,CD24:E,0,10,,,0.0,0.0
189,wilms tumor,10,CD271:E,1,9,495.76,495.76,495.76,0.0
190,wilms tumor,10,CD28:E,0,10,,,0.0,0.0
191,wilms tumor,10,CD3:E,2,8,710.17,1001.76,855.965,42512.36405
192,wilms tumor,10,CD30:E,0,10,,,0.0,0.0
193,wilms tumor,10,CD309:E,0,10,,,0.0,0.0
194,wilms tumor,10,CD34:E,0,10,,,0.0,0.0
195,wilms tumor,10,CD38:E,1,9,514.06,514.06,514.06,0.0
196,wilms tumor,10,CD4:E,0,10,,,0.0,0.0
197,wilms tumor,10,CD44:E,1,9,2343.23,2343.23,2343.23,0.0
198,wilms tumor,10,CD45:E,3,7,5088.81,6553.22,5818.64,536141.0839
199,wilms tumor,10,CD5:E,1,9,1410.67,1410.67,1410.67,0.0
200,wilms tumor,10,CD56:E,2,8,400.66,467.37,434.015,2225.11205
201,wilms tumor,10,CD56+IgK:E,2,8,625.13,751.41,688.27,7973.3192
202,wilms tumor,10,CD57:E,0,10,,,0.0,0.0
203,wilms tumor,10,CD58:E,1,9,3679.79,3679.79,3679.79,0.0
204,wilms tumor,10,CD7:E,0,10,,,0.0,0.0
205,wilms tumor,10,CD71:E,1,9,2729.94,2729.94,2729.94,0.0
206,wilms tumor,10,CD8:E,0,10,,,0.0,0.0
207,wilms tumor,10,CD8+IgL:E,2,8,1321.34,1738.29,1529.815,86923.65125
208,wilms tumor,10,CD81:E,2,8,994.43,28592.32,14793.375,380821766.226
209,wilms tumor,10,CD8-CD99:E,0,10,,,0.0,0.0
210,wilms tumor,10,CD9:E,2,8,7945.47,49505.12,28725.295,863602254.061
211,wilms tumor,10,CD90:E,0,10,,,0.0,0.0
212,wilms tumor,10,CD99:E,2,8,519.56,1489.93,1004.745,470808.96845
213,wilms tumor,10,cyCD3:E,0,10,,,0.0,0.0
214,wilms tumor,10,cyCD3+CD19:E,1,9,1874.45,1874.45,1874.45,0.0
215,wilms tumor,10,cyCD79a:E,0,10,,,0.0,0.0
216,wilms tumor,10,EPCAM:E,1,9,1019.79,1019.79,1019.79,0.0
217,wilms tumor,10,Epcam+CD4:E,1,9,3057.54,3057.54,3057.54,0.0
218,wilms tumor,10,FSC-A:E,3,7,104310.57,166528.19,139684.096667,1022321484.36
219,wilms tumor,10,FSC-H:E,3,7,78899.0,108157.0,95375.0,224241868.0
220,wilms tumor,10,GD2:E,2,8,958.33,2618.06,1788.195,1377351.83645
221,wilms tumor,10,HLADR:E,0,10,,,0.0,0.0
222,wilms tumor,10,MPO:E,0,10,,,0.0,0.0
223,wilms tumor,10,nuMIOGENIN:E,1,9,998.08,998.08,998.08,0.0
224,wilms tumor,10,nuMYOD:E,0,10,,,0.0,0.0
225,wilms tumor,10,OCT3/4:E,0,10,,,0.0,0.0
226,wilms tumor,10,SSC-A:E,3,7,136550.89,252696.97,199644.603333,3448099457.0
227,wilms tumor,10,SSC-H:E,0,10,,,0.0,0.0
228,wilms tumor,10,BV421:L,1,9,6548.07,6548.07,6548.07,0.0
229,wilms tumor,10,CD10:L,8,2,-241.11,142.55,18.96875,12534.6410696
230,wilms tumor,10,CD105:L,1,9,38.69,38.69,38.69,0.0
231,wilms tumor,10,CD117:L,4,6,39.47,163.71,90.435,3087.19956667
232,wilms tumor,10,CD123:L,0,10,,,0.0,0.0
233,wilms tumor,10,CD14:L,1,9,-3.61,-3.61,-3.61,0.0
234,wilms tumor,10,CD15:L,0,10,,,0.0,0.0
235,wilms tumor,10,CD16:L,0,10,,,0.0,0.0
236,wilms tumor,10,CD19:E.1,0,10,,,0.0,0.0
237,wilms tumor,10,CD19_CD4:L,4,6,230.09,773.96,441.475,54189.2816333
238,wilms tumor,10,CD19+TCRGD:L,2,8,105.67,137.69,121.68,512.6402
239,wilms tumor,10,CD1a:L,0,10,,,0.0,0.0
240,wilms tumor,10,CD2:L,0,10,,,0.0,0.0
241,wilms tumor,10,CD20:L,3,7,-47.01,643.08,241.18,128753.5251
242,wilms tumor,10,CD20+CD4:L,1,9,2751.31,2751.31,2751.31,0.0
243,wilms tumor,10,CD21:L,0,10,,,0.0,0.0
244,wilms tumor,10,CD22:L,0,10,,,0.0,0.0
245,wilms tumor,10,CD24:L,0,10,,,0.0,0.0
246,wilms tumor,10,CD271:L,6,4,16.72,67.45,32.625,419.49899
247,wilms tumor,10,CD28:L,0,10,,,0.0,0.0
248,wilms tumor,10,CD3:L,6,4,99.02,24244.5,12046.1683333,97856273.5795
249,wilms tumor,10,CD30:L,1,9,139.72,139.72,139.72,0.0
250,wilms tumor,10,CD309:L,4,6,25.66,31.77,28.5425,10.2960916667
251,wilms tumor,10,CD34:L,2,8,122.47,448.75,285.61,53229.3192
252,wilms tumor,10,CD38:L,7,3,5.33,12395.44,3221.20428571,20372599.8978
253,wilms tumor,10,CD4:L,0,10,,,0.0,0.0
254,wilms tumor,10,CD44:L,4,6,712.64,1973.18,1414.4875,279328.486758
255,wilms tumor,10,CD45:L,10,0,650.94,9296.88,5256.852,6196034.74828
256,wilms tumor,10,CD5:L,2,8,2507.13,5469.9,3988.515,4389003.03645
257,wilms tumor,10,CD56:L,10,0,9.09,3725.56,468.674,1314836.13978
258,wilms tumor,10,CD56+IgK:L,6,4,35.1,235.82,126.105,5424.46499
259,wilms tumor,10,CD57:L,7,3,48.34,252.22,115.828571429,5913.11521429
260,wilms tumor,10,CD58:L,4,6,141.55,1602.67,915.7225,364622.616092
261,wilms tumor,10,CD7:L,0,10,,,0.0,0.0
262,wilms tumor,10,CD71:L,1,9,117.75,117.75,117.75,0.0
263,wilms tumor,10,CD8:L,0,10,,,0.0,0.0
264,wilms tumor,10,CD8+IgL:L,6,4,115.81,3934.93,1217.05833333,2386424.4741
265,wilms tumor,10,CD81:L,9,1,71.89,3884.33,1845.66555556,1990590.08003
266,wilms tumor,10,CD8-CD99:L,0,10,,,0.0,0.0
267,wilms tumor,10,CD9:L,9,1,130.05,809.21,346.797777778,50672.4078944
268,wilms tumor,10,CD90:L,8,2,18.57,345.42,99.70375,11999.1273411
269,wilms tumor,10,CD99:L,9,1,33.28,475.86,239.176666667,25152.348625
270,wilms tumor,10,cyCD3:L,0,10,,,0.0,0.0
271,wilms tumor,10,cyCD3+CD19:L,1,9,3472.88,3472.88,3472.88,0.0
272,wilms tumor,10,cyCD79a:L,0,10,,,0.0,0.0
273,wilms tumor,10,EPCAM:L,8,2,29.3,225.29,126.63125,4747.94249821
274,wilms tumor,10,Epcam+CD4:L,1,9,118.61,118.61,118.61,0.0
275,wilms tumor,10,FSC-A:L,10,0,35073.12,91537.81,69374.011,274276908.418
276,wilms tumor,10,FSC-H:L,10,0,34115.5,74616.0,57623.85,152139067.947
277,wilms tumor,10,GD2:L,7,3,41.12,126.45,89.1785714286,1291.99604762
278,wilms tumor,10,HLADR:L,3,7,297.55,676.67,430.213333333,45644.6856333
279,wilms tumor,10,MPO:L,0,10,,,0.0,0.0
280,wilms tumor,10,nuMIOGENIN:L,5,5,29.97,136.8,66.998,2560.76052
281,wilms tumor,10,nuMYOD:L,4,6,68.93,159.51,113.6125,1413.37815833
282,wilms tumor,10,OCT3/4:L,0,10,,,0.0,0.0
283,wilms tumor,10,SSC-A:L,10,0,7490.88,15194.88,10086.267,5341659.10925
284,wilms tumor,10,SSC-H:L,3,7,7026.0,7862.5,7533.5,198829.75
285,wilms tumor,10,BV421:MSC,0,10,,,0.0,0.0
286,wilms tumor,10,CD10:MSC,0,10,,,0.0,0.0
287,wilms tumor,10,CD105:MSC,0,10,,,0.0,0.0
288,wilms tumor,10,CD117:MSC,0,10,,,0.0,0.0
289,wilms tumor,10,CD123:MSC,0,10,,,0.0,0.0
290,wilms tumor,10,CD14:MSC,0,10,,,0.0,0.0
291,wilms tumor,10,CD15:MSC,0,10,,,0.0,0.0
292,wilms tumor,10,CD16:MSC,0,10,,,0.0,0.0
293,wilms tumor,10,CD19:MSC,0,10,,,0.0,0.0
294,wilms tumor,10,CD19_CD4:MSC,0,10,,,0.0,0.0
295,wilms tumor,10,CD19+TCRGD:MSC,0,10,,,0.0,0.0
296,wilms tumor,10,CD1a:MSC,0,10,,,0.0,0.0
297,wilms tumor,10,CD2:MSC,0,10,,,0.0,0.0
298,wilms tumor,10,CD20:MSC,0,10,,,0.0,0.0
299,wilms tumor,10,CD20+CD4:MSC,0,10,,,0.0,0.0
300,wilms tumor,10,CD21:MSC,0,10,,,0.0,0.0
301,wilms tumor,10,CD22:MSC,0,10,,,0.0,0.0
302,wilms tumor,10,CD24:MSC,0,10,,,0.0,0.0
303,wilms tumor,10,CD271:MSC,0,10,,,0.0,0.0
304,wilms tumor,10,CD28:MSC,0,10,,,0.0,0.0
305,wilms tumor,10,CD3:MSC,0,10,,,0.0,0.0
306,wilms tumor,10,CD30:MSC,0,10,,,0.0,0.0
307,wilms tumor,10,CD309:MSC,0,10,,,0.0,0.0
308,wilms tumor,10,CD34:MSC,0,10,,,0.0,0.0
309,wilms tumor,10,CD38:MSC,0,10,,,0.0,0.0
310,wilms tumor,10,CD4:MSC,0,10,,,0.0,0.0
311,wilms tumor,10,CD44:MSC,0,10,,,0.0,0.0
312,wilms tumor,10,CD45:MSC,0,10,,,0.0,0.0
313,wilms tumor,10,CD5:MSC,0,10,,,0.0,0.0
314,wilms tumor,10,CD56:MSC,0,10,,,0.0,0.0
315,wilms tumor,10,CD56+IgK:MSC,0,10,,,0.0,0.0
316,wilms tumor,10,CD57:MSC,0,10,,,0.0,0.0
317,wilms tumor,10,CD58:MSC,0,10,,,0.0,0.0
318,wilms tumor,10,CD7:MSC,0,10,,,0.0,0.0
319,wilms tumor,10,CD71:MSC,0,10,,,0.0,0.0
320,wilms tumor,10,CD8:MSC,0,10,,,0.0,0.0
321,wilms tumor,10,CD8+IgL:MSC,0,10,,,0.0,0.0
